pid,sess_done,sess_rate,sess_dur_min,adhere_rate
P00775,82,0.911,18.9,0.877
P00776,88,0.978,18.9,0.948
P00777,61,0.678,17.9,0.936
P00778,86,0.956,16.0,0.827
P00779,77,0.856,14.3,0.944
P00780,84,0.933,20.7,0.890
P00781,69,0.767,17.1,0.976
P00782,74,0.822,16.7,0.918
P00783,83,0.922,17.8,0.969
P00784,80,0.889,20.0,0.878
P00785,88,0.978,18.7,0.958
P00786,83,0.922,19.0,0.981
P00787,82,0.911,16.2,0.799
P00788,84,0.933,22.0,0.910
P00789,90,1.000,15.3,0.866
P00790,74,0.822,16.7,1.000
P00791,85,0.944,21.0,0.944
P00792,76,0.844,17.5,0.987
P00793,77,0.856,17.4,0.807
P00794,84,0.933,18.1,0.935
P00795,84,0.933,12.2,0.910
P00796,72,0.800,21.7,0.979
P00797,76,0.844,20.4,0.875
P00798,78,0.867,19.7,0.909
P00799,74,0.822,17.6,0.826
P00800,86,0.956,23.6,0.923
P00801,83,0.922,21.1,0.957
P00802,77,0.856,12.1,0.945
P00803,69,0.767,17.6,0.928
P00804,84,0.933,19.5,0.925
P00805,84,0.933,19.1,0.931
P00806,76,0.844,16.8,0.957
P00807,70,0.778,16.5,0.842
P00808,78,0.867,18.3,0.965
P00809,87,0.967,14.2,0.930
P00810,79,0.878,16.0,0.968
P00811,89,0.989,20.4,0.939
P00812,79,0.878,14.8,0.946
P00813,69,0.767,19.0,0.964
P00814,90,1.000,18.4,0.705
P00815,90,1.000,20.7,0.953
P00816,68,0.756,15.4,0.771
P00817,74,0.822,21.1,0.810
P00818,78,0.867,15.6,0.922
P00819,83,0.922,18.3,0.871
P00820,82,0.911,18.0,0.929
P00821,72,0.800,23.5,0.857
P00822,73,0.811,20.2,0.919
P00823,83,0.922,15.8,0.977
P00824,62,0.689,21.0,0.956
P00825,88,0.978,18.1,0.882
P00826,89,0.989,17.5,0.839
P00827,84,0.933,18.1,0.916
P00828,81,0.900,18.1,0.982
P00829,80,0.889,20.2,0.717
P00830,89,0.989,16.0,0.787
P00831,90,1.000,17.1,0.971
P00832,90,1.000,13.5,0.925
P00833,89,0.989,19.6,0.827
P00834,66,0.733,17.9,0.854
P00835,76,0.844,17.6,0.901
P00836,86,0.956,19.6,0.975
P00837,78,0.867,21.0,0.906
P00838,83,0.922,17.0,0.880
P00839,79,0.878,16.3,0.888
P00840,65,0.722,19.0,0.824
P00841,69,0.767,18.3,0.960
P00842,88,0.978,22.6,0.885
P00843,76,0.844,15.1,0.970
P00844,77,0.856,16.0,0.925
P00845,71,0.789,16.5,0.839
P00846,77,0.856,19.8,0.923
P00847,90,1.000,18.2,0.981
P00848,83,0.922,16.2,0.965
P00849,79,0.878,15.4,0.890
P00850,60,0.667,20.8,0.911
P00851,85,0.944,17.7,0.619
P00852,83,0.922,19.7,0.921
P00853,89,0.989,22.6,0.890
P00854,83,0.922,21.3,0.967
P00855,74,0.822,20.5,0.888
P00856,74,0.822,21.8,0.888
P00857,69,0.767,18.6,0.913
P00858,81,0.900,17.9,0.945
P00859,85,0.944,19.7,0.929
P00860,72,0.800,18.3,0.889
P00861,70,0.778,13.2,0.857
P00862,62,0.689,17.4,0.928
P00863,78,0.867,17.4,0.969
P00864,70,0.778,19.8,0.909
P00865,80,0.889,21.1,0.904
P00866,75,0.833,20.8,0.895
P00867,75,0.833,17.1,0.832
P00868,73,0.811,16.7,0.916
P00869,81,0.900,22.0,0.875
P00870,90,1.000,18.5,0.917
P00871,71,0.789,18.5,0.918
P00872,82,0.911,15.8,0.838
P00873,67,0.744,24.3,0.983
P00874,81,0.900,19.0,0.865
P00875,89,0.989,23.2,0.823
P00876,75,0.833,21.1,0.819
P00877,80,0.889,16.0,0.976
P00878,75,0.833,21.0,0.983
P00879,85,0.944,19.6,0.972
P00880,78,0.867,14.3,0.959
P00881,76,0.844,19.3,0.920
P00882,81,0.900,17.6,0.912
P00883,68,0.756,20.4,0.853
P00884,73,0.811,25.0,0.900
P00885,85,0.944,12.4,0.971
P00886,65,0.722,15.5,0.945
P00887,86,0.956,17.7,0.890
P00888,82,0.911,18.5,0.945
P00889,89,0.989,21.7,0.966
P00890,90,1.000,15.9,0.894
P00891,65,0.722,15.1,0.958
P00892,89,0.989,19.4,0.947
P00893,77,0.856,20.3,0.923
P00894,78,0.867,16.3,0.980
P00895,79,0.878,17.2,0.894
P00896,85,0.944,14.8,0.945
P00897,79,0.878,21.3,0.888
P00898,65,0.722,19.8,0.996
P00899,87,0.967,16.6,0.867
P00900,62,0.689,14.1,0.975
P00901,72,0.800,17.2,0.872
P00902,83,0.922,19.0,0.772
P00903,77,0.856,16.3,0.914
P00904,77,0.856,18.4,0.801
P00905,86,0.956,22.1,0.863
P00906,80,0.889,11.7,0.897
P00907,84,0.933,17.4,0.918
P00908,75,0.833,21.8,0.885
P00909,87,0.967,11.5,0.937
P00910,68,0.756,15.5,0.914
P00911,84,0.933,21.4,0.934
P00912,90,1.000,15.6,0.987
P00913,71,0.789,18.1,0.942
P00914,79,0.878,17.7,0.950
P00915,65,0.722,22.8,0.858
P00916,82,0.911,18.2,0.991
P00917,75,0.833,18.9,0.952
P00918,76,0.844,15.9,0.975
P00919,72,0.800,17.1,0.941
P00920,77,0.856,17.8,0.936
P00921,73,0.811,21.6,0.818
P00922,78,0.867,17.3,0.944
P00923,80,0.889,18.0,0.942
P00924,72,0.800,15.2,0.918
P00925,84,0.933,16.8,0.897
P00926,67,0.744,21.2,0.947
P00927,82,0.911,16.9,0.928
P00928,70,0.778,19.1,0.898
P00929,81,0.900,22.6,0.924
P00930,73,0.811,21.3,0.825
P00931,70,0.778,20.3,0.907
P00932,90,1.000,17.8,0.920
P00933,84,0.933,16.8,0.886
P00934,80,0.889,22.0,0.979
P00935,65,0.722,22.0,0.779
P00936,90,1.000,16.5,0.920
P00937,71,0.789,19.8,0.954
P00938,86,0.956,16.1,0.957
P00939,77,0.856,16.4,0.910
P00940,73,0.811,17.6,0.950
P00941,80,0.889,16.2,0.887
P00942,83,0.922,17.1,0.910
P00943,89,0.989,17.5,0.972
P00944,83,0.922,18.0,0.989
P00945,87,0.967,17.6,0.978
P00946,73,0.811,19.7,0.976
P00947,85,0.944,15.7,0.835
P00948,83,0.922,19.5,0.912
P00949,71,0.789,19.6,0.941
P00950,81,0.900,18.1,0.864
P00951,77,0.856,14.6,0.881
P00952,81,0.900,17.1,0.909
P00953,74,0.822,17.2,0.909
P00954,62,0.689,19.9,0.922
P00955,73,0.811,13.8,0.965
P00956,86,0.956,19.5,0.954
P00957,84,0.933,23.6,0.881
P00958,73,0.811,17.1,0.943
P00959,69,0.767,21.8,0.886
P00960,82,0.911,16.5,0.912
P00961,83,0.922,16.4,0.732
P00962,86,0.956,16.8,0.895
P00963,77,0.856,14.2,0.976
P00964,89,0.989,17.4,0.875
P00965,90,1.000,14.9,0.878
P00966,73,0.811,11.8,0.940
P00967,79,0.878,18.8,0.924
P00968,82,0.911,20.0,0.988
P00969,73,0.811,19.2,0.951
P00970,82,0.911,24.9,0.938
P00971,75,0.833,15.5,0.796
P00972,90,1.000,21.6,0.962
P00973,79,0.878,20.5,0.951
P00974,90,1.000,17.1,0.739
P00975,73,0.811,17.9,0.982
P00976,68,0.756,19.8,0.804
P00977,86,0.956,21.7,0.953
P00978,89,0.989,19.5,0.999
P00979,82,0.911,17.6,0.937
P00980,77,0.856,20.0,0.879
P00981,55,0.611,22.2,0.774
P00982,85,0.944,19.7,0.889
P00983,90,1.000,17.3,0.850
P00984,71,0.789,17.7,0.959
P00985,71,0.789,19.1,0.906
P00986,74,0.822,12.0,0.749
P00987,78,0.867,20.0,0.960
P00988,72,0.800,17.8,0.831
P00989,72,0.800,18.9,0.910
P00990,82,0.911,18.5,0.790
P00991,90,1.000,24.7,0.883
P00992,82,0.911,19.6,0.957
P00993,67,0.744,19.6,0.772
P00994,88,0.978,16.1,0.957
P00995,80,0.889,20.6,0.952
P00996,82,0.911,17.4,0.625
P00997,77,0.856,14.3,0.864
P00998,69,0.767,17.4,0.890
P00999,68,0.756,18.8,0.861
P01000,79,0.878,18.0,0.771
P01001,74,0.822,16.4,0.945
P01002,74,0.822,15.8,0.895
P01003,68,0.756,19.7,0.914
P01004,75,0.833,18.0,0.948
P01005,79,0.878,21.9,0.941
P01006,79,0.878,15.6,0.932
P01007,74,0.822,18.1,0.934
P01008,79,0.878,18.6,0.900
P01009,76,0.844,22.7,0.853
P01010,74,0.822,16.5,0.973
P01011,71,0.789,20.9,0.916
P01012,90,1.000,18.0,0.972
P01013,69,0.767,17.2,0.903
P01014,90,1.000,19.3,0.892
P01015,59,0.656,18.6,0.980
P01016,89,0.989,21.8,0.854
P01017,78,0.867,16.4,0.911
P01018,72,0.800,19.4,0.964
P01019,90,1.000,19.7,0.944
P01020,90,1.000,14.2,0.892
P01021,81,0.900,20.0,0.956
P01022,79,0.878,17.1,0.914
P01023,82,0.911,20.7,0.806
P01024,84,0.933,18.9,0.888
P01025,83,0.922,14.6,0.935
P01026,75,0.833,18.4,0.806
P01027,83,0.922,16.7,0.619
P01028,73,0.811,16.7,0.917
P01029,79,0.878,18.8,0.907
P01030,56,0.622,15.4,0.957
P01031,90,1.000,20.0,0.968
P01032,74,0.822,18.5,0.831
P01033,81,0.900,22.7,0.953
P01034,83,0.922,22.6,0.914
P01035,90,1.000,14.8,0.944
P01036,90,1.000,20.4,0.743
P01037,75,0.833,15.7,0.927
P01038,55,0.611,18.7,0.841
P01039,69,0.767,19.5,0.799
P01040,77,0.856,20.0,0.814
P01041,65,0.722,18.0,0.954
P01042,63,0.700,19.0,0.782
P01043,82,0.911,16.4,0.941
P01044,86,0.956,14.6,0.974
P01045,65,0.722,20.0,0.975
P01046,90,1.000,18.5,0.976
P01047,70,0.778,17.6,0.929
P01048,78,0.867,19.4,0.943
P01049,79,0.878,20.6,0.779
P01050,74,0.822,20.4,0.918
P01051,76,0.844,19.7,0.939
P01052,76,0.844,16.3,0.836
P01053,90,1.000,19.2,0.830
P01054,84,0.933,13.9,0.955
P01055,61,0.678,18.5,0.774
P01056,81,0.900,20.8,0.972
P01057,78,0.867,23.2,0.957
P01058,70,0.778,18.2,0.760
P01059,84,0.933,21.4,0.904
P01060,73,0.811,17.2,0.968
P01061,55,0.611,18.0,0.976
P01062,77,0.856,21.2,0.955
P01063,64,0.711,18.9,0.831
P01064,67,0.744,13.5,0.909
P01065,88,0.978,14.2,0.848
P01066,66,0.733,21.7,0.876
P01067,70,0.778,22.7,0.894
P01068,73,0.811,19.3,0.907
P01069,75,0.833,17.6,0.795
P01070,79,0.878,22.7,0.965
P01071,87,0.967,16.9,0.805
P01072,73,0.811,18.8,0.976
P01073,80,0.889,22.4,0.901
P01074,81,0.900,18.7,0.911
P01075,71,0.789,15.4,0.910
P01076,71,0.789,17.6,0.790
P01077,90,1.000,13.0,0.888
P01078,76,0.844,21.3,0.917
P01079,76,0.844,17.5,0.998
P01080,74,0.822,18.3,0.925
P01081,82,0.911,18.0,0.976
P01082,80,0.889,21.3,0.971
P01083,67,0.744,18.3,0.983
P01084,82,0.911,21.1,0.915
P01085,76,0.844,20.1,0.988
P01086,69,0.767,21.5,0.896
P01087,74,0.822,18.9,0.912
P01088,84,0.933,14.7,0.842
P01089,77,0.856,19.9,0.765
P01090,77,0.856,20.6,0.873
P01091,74,0.822,21.0,0.924
P01092,73,0.811,17.9,0.874
P01093,83,0.922,19.9,0.859
P01094,78,0.867,20.0,0.851
P01095,85,0.944,16.1,0.902
P01096,90,1.000,13.7,0.894
P01097,85,0.944,17.6,0.901
P01098,82,0.911,17.9,0.987
P01099,80,0.889,19.5,0.915
P01100,52,0.578,18.5,0.872
P01101,83,0.922,14.9,0.839
P01102,64,0.711,20.0,0.871
P01103,76,0.844,17.2,0.924
P01104,77,0.856,20.9,0.873
P01105,88,0.978,14.2,0.914
P01106,78,0.867,13.6,0.939
P01107,77,0.856,17.2,0.969
P01108,77,0.856,20.5,0.862
P01109,68,0.756,19.9,0.825
P01110,79,0.878,23.3,0.919
P01111,76,0.844,20.6,0.929
P01112,75,0.833,24.5,0.953
P01113,73,0.811,20.3,0.755
P01114,90,1.000,19.3,0.948
P01115,81,0.900,18.4,0.822
P01116,90,1.000,16.8,0.844
P01117,82,0.911,18.3,0.941
P01118,90,1.000,18.1,0.901
P01119,82,0.911,16.1,0.960
P01120,89,0.989,19.5,0.951
P01121,90,1.000,22.2,0.961
P01122,67,0.744,20.4,0.833
P01123,79,0.878,18.8,0.780
P01124,87,0.967,14.3,0.932
P01125,78,0.867,15.8,0.806
P01126,78,0.867,20.6,0.880
P01127,83,0.922,19.3,0.913
P01128,77,0.856,18.1,0.789
P01129,89,0.989,18.0,0.929
P01130,69,0.767,16.2,0.956
P01131,70,0.778,21.4,0.822
P01132,90,1.000,21.3,0.919
P01133,90,1.000,20.9,0.912
P01134,81,0.900,20.0,0.970
P01135,86,0.956,20.1,0.984
P01136,68,0.756,19.6,0.901
P01137,89,0.989,13.2,0.891
P01138,68,0.756,20.6,0.906
P01139,83,0.922,16.5,0.878
P01140,82,0.911,18.4,0.900
P01141,77,0.856,15.2,0.798
P01142,71,0.789,19.5,0.993
P01143,83,0.922,18.3,0.894
P01144,83,0.922,19.3,0.836
P01145,77,0.856,17.4,0.937
P01146,79,0.878,15.8,0.759
P01147,58,0.644,14.7,0.931
P01148,81,0.900,20.3,0.886
P01149,79,0.878,18.6,0.948
P01150,54,0.600,18.1,0.951
P01151,67,0.744,18.2,0.827
P01152,89,0.989,17.3,0.908
P01153,82,0.911,14.1,0.978
P01154,82,0.911,15.3,0.961
P01155,84,0.933,18.3,0.900
P01156,74,0.822,21.8,0.953
P01157,90,1.000,18.6,0.933
P01158,81,0.900,19.3,0.623
P01159,90,1.000,18.5,0.980
P01160,77,0.856,20.1,0.945
P01161,64,0.711,16.8,0.925
P01162,78,0.867,14.6,0.903
P01163,86,0.956,20.9,0.907
P01164,57,0.633,16.0,0.938
P01165,77,0.856,17.8,0.914
P01166,78,0.867,19.5,0.963
P01167,90,1.000,16.9,0.952
P01168,76,0.844,19.8,0.865
P01169,78,0.867,17.0,0.897
P01170,81,0.900,19.0,0.881
P01171,72,0.800,20.7,0.817
P01172,81,0.900,20.7,0.778
P01173,56,0.622,18.3,0.929
P01174,83,0.922,23.1,0.863
P01175,90,1.000,19.2,0.789
P01176,54,0.600,17.1,0.922
P01177,77,0.856,17.6,0.905
P01178,81,0.900,16.8,0.901
P01179,85,0.944,16.6,0.829
P01180,74,0.822,18.0,0.688
P01181,75,0.833,14.0,0.989
P01182,90,1.000,15.3,0.940
P01183,90,1.000,18.8,0.883
P01184,76,0.844,19.3,0.963
P01185,74,0.822,21.3,0.835
P01186,75,0.833,21.9,0.909
P01187,83,0.922,20.1,0.990
P01188,72,0.800,19.8,0.978
P01189,85,0.944,13.6,0.895
P01190,89,0.989,22.9,0.976
P01191,77,0.856,17.7,0.967
P01192,84,0.933,21.2,0.926
P01193,90,1.000,20.0,0.986
P01194,74,0.822,17.0,0.905
P01195,70,0.778,19.9,0.943
P01196,72,0.800,15.5,0.810
P01197,71,0.789,19.9,0.936
P01198,72,0.800,18.0,0.973
P01199,83,0.922,17.0,0.770
P01200,85,0.944,19.5,0.923
