pid,site,fid,age_m,sex_code,ses_z,arm_code,partner_code,content_code
P00472,9,F0489,66.0,1,-1.77,A2,X1,M2
P00473,5,F0689,65.0,1,-2.22,B1,X2,M1
P00474,8,F0395,74.0,2,0.27,B2,X2,M2
P00475,10,F0512,56.0,1,0.11,A1,X1,M1
P00476,6,F0297,59.0,2,-0.87,B2,X2,M2
P00477,4,F0178,59.0,1,0.70,B2,X2,M2
P00478,7,F0283,57.0,2,-0.45,A2,X1,M2
P00479,7,F0108,68.0,1,-0.61,A1,X1,M1
P00480,5,F0479,56.0,2,1.14,A2,X1,M2
P00481,5,F0841,68.0,2,0.30,A1,X1,M1
P00482,6,F0075,66.0,2,-0.37,A2,X1,M2
P00483,10,F0168,51.0,2,-0.83,B1,X2,M1
P00484,5,F0392,65.0,2,1.30,B1,X2,M1
P00485,4,F0807,53.0,1,-0.11,A2,X1,M2
P00486,2,F0044,71.0,2,0.21,A2,X1,M2
P00487,1,F0496,58.0,2,-1.31,B1,X2,M1
P00488,10,F0050,53.0,1,-1.22,B1,X2,M1
P00489,10,F0116,58.0,2,-1.52,B2,X2,M2
P00490,1,F0100,55.0,1,-1.69,A2,X1,M2
P00491,8,F0126,58.0,2,-0.03,B1,X2,M1
P00492,3,F0985,61.0,1,-0.10,B1,X2,M1
P00493,8,F0727,71.0,1,-1.14,B2,X2,M2
P00494,1,F0658,70.0,1,0.09,B1,X2,M1
P00495,3,F0556,58.0,1,-0.43,A1,X1,M1
P00496,7,F0593,75.0,2,1.21,B2,X2,M2
P00497,1,F0615,66.0,1,0.93,B2,X2,M2
P00498,11,F0463,63.0,2,-1.74,B2,X2,M2
P00499,6,F0351,60.0,1,-0.42,B1,X2,M1
P00500,2,F0480,77.0,1,-0.29,B2,X2,M2
P00501,6,F0208,67.0,1,-2.68,A2,X1,M2
P00502,5,F0072,62.0,1,-1.14,A2,X1,M2
P00503,1,F0862,66.0,1,-0.19,A1,X1,M1
P00504,2,F0128,58.0,1,0.79,B2,X2,M2
P00505,11,F0097,71.0,2,-0.64,B1,X2,M1
P00506,12,F0338,57.0,1,-0.43,A1,X1,M1
P00507,11,F0740,61.0,2,1.19,A1,X1,M1
P00508,8,F0260,57.0,1,-0.03,A2,X1,M2
P00509,10,F0626,56.0,2,2.06,B2,X2,M2
P00510,8,F0506,61.0,2,0.34,A2,X1,M2
P00511,2,F0685,56.0,1,-1.04,A2,X1,M2
P00512,9,F0732,51.0,2,-0.55,B2,X2,M2
P00513,7,F0937,65.0,1,-0.26,B1,X2,M1
P00514,12,F1023,60.0,2,0.87,B2,X2,M2
P00515,11,F0742,65.0,2,1.37,B2,X2,M2
P00516,9,F0643,68.0,2,-1.24,A1,X1,M1
P00517,8,F0686,66.0,1,0.23,B2,X2,M2
P00518,8,F0566,53.0,2,0.77,B1,X2,M1
P00519,9,F0892,66.0,1,1.22,B1,X2,M1
P00520,3,F0408,60.0,1,2.06,B2,X2,M2
P00521,12,F0244,63.0,1,-0.27,A2,X1,M2
P00522,2,F0771,63.0,2,-0.07,A1,X1,M1
P00523,12,F0320,56.0,2,-0.24,A1,X1,M1
P00524,6,F0119,77.0,2,0.32,B2,X2,M2
P00525,8,F0006,65.0,2,1.07,A2,X1,M2
P00526,11,F0359,60.0,1,-0.01,B1,X2,M1
P00527,4,F0852,53.0,2,-0.93,A2,X1,M2
P00528,10,F1033,61.0,2,0.68,A2,X1,M2
P00529,1,F0440,62.0,1,0.58,B1,X2,M1
P00530,3,F0403,60.0,1,1.43,A1,X1,M1
P00531,6,F0412,60.0,1,0.98,A2,X1,M2
P00532,10,F0322,63.0,2,0.95,A2,X1,M2
P00533,2,F0421,69.0,2,-1.01,A1,X1,M1
P00534,8,F0096,65.0,2,-0.28,B2,X2,M2
P00535,11,F0782,72.0,1,0.53,A2,X1,M2
P00536,7,F0165,71.0,1,1.01,A2,X1,M2
P00537,3,F0909,59.0,1,0.66,B1,X2,M1
P00538,1,F0974,64.0,2,-1.32,A1,X1,M1
P00539,2,F0590,64.0,1,0.64,A1,X1,M1
P00540,10,F0144,74.0,1,2.32,B2,X2,M2
P00541,3,F0235,63.0,1,-0.50,A1,X1,M1
P00542,5,F0111,50.0,2,0.68,A2,X1,M2
P00543,11,F0810,53.0,2,-0.66,A1,X1,M1
P00544,6,F0767,68.0,2,-0.12,B1,X2,M1
P00545,2,F0153,68.0,2,0.43,A1,X1,M1
P00546,8,F0604,77.0,1,1.14,B1,X2,M1
P00547,2,F0477,64.0,1,0.44,A2,X1,M2
P00548,12,F0682,57.0,1,0.12,B1,X2,M1
P00549,12,F0876,58.0,2,-0.60,B2,X2,M2
P00550,9,F0224,48.0,1,1.25,B2,X2,M2
P00551,5,F0231,55.0,2,1.21,B2,X2,M2
P00552,8,F0968,75.0,1,0.18,A2,X1,M2
P00553,2,F1036,58.0,2,0.69,A1,X1,M1
P00554,6,F0755,74.0,1,0.53,B1,X2,M1
P00555,7,F0070,68.0,1,-1.55,A2,X1,M2
P00556,7,F0720,67.0,2,0.15,A2,X1,M2
P00557,11,F0029,57.0,2,0.98,A1,X1,M1
P00558,7,F0996,77.0,2,0.19,A1,X1,M1
P00559,5,F0619,56.0,1,-0.78,A2,X1,M2
P00560,9,F0611,62.0,1,0.59,A2,X1,M2
P00561,9,F0987,63.0,2,0.47,B1,X2,M1
P00562,8,F0415,77.0,2,0.38,B1,X2,M1
P00563,8,F0973,52.0,1,-1.94,B1,X2,M1
P00564,8,F0368,48.0,1,0.13,A1,X1,M1
P00565,10,F0908,58.0,1,-0.23,A2,X1,M2
P00566,1,F0623,58.0,1,-0.47,A2,X1,M2
P00567,12,F0584,68.0,2,0.78,B1,X2,M1
P00568,4,F1033,67.0,2,-1.33,A2,X1,M2
P00569,7,F0656,61.0,1,0.10,B1,X2,M1
P00570,2,F1029,60.0,1,-0.20,B1,X2,M1
P00571,10,F0538,64.0,1,0.51,B1,X2,M1
P00572,6,F0981,65.0,2,-0.12,B2,X2,M2
P00573,10,F0550,57.0,2,0.09,B2,X2,M2
P00574,4,F0600,64.0,1,0.24,B2,X2,M2
P00575,3,F0482,60.0,1,2.56,A1,X1,M1
P00576,6,F0990,48.0,1,1.29,B2,X2,M2
P00577,10,F0049,56.0,1,0.25,B2,X2,M2
P00578,3,F0897,49.0,2,-0.89,B1,X2,M1
P00579,2,F0718,67.0,1,-0.05,A1,X1,M1
P00580,10,F0564,68.0,2,-0.59,A1,X1,M1
P00581,3,F0531,54.0,1,0.41,A2,X1,M2
P00582,2,F0503,71.0,2,-1.23,B2,X2,M2
P00583,12,F0534,64.0,1,1.00,B2,X2,M2
P00584,12,F0457,54.0,2,1.38,B2,X2,M2
P00585,12,F0802,66.0,1,0.65,B2,X2,M2
P00586,1,F0327,60.0,2,0.58,B1,X2,M1
P00587,11,F1040,66.0,1,-0.45,B1,X2,M1
P00588,4,F0526,72.0,2,0.42,A2,X1,M2
P00589,7,F0486,75.0,1,1.76,A1,X1,M1
P00590,1,F0465,62.0,1,1.14,B2,X2,M2
P00591,9,F0986,60.0,1,0.38,B1,X2,M1
P00592,7,F0247,54.0,2,-0.32,B2,X2,M2
P00593,12,F1007,60.0,1,0.48,A2,X1,M2
P00594,1,F1031,70.0,2,-0.86,B2,X2,M2
P00595,10,F0801,53.0,1,-0.78,B1,X2,M1
P00596,10,F0561,69.0,1,-1.50,A1,X1,M1
P00597,8,F0760,48.0,2,1.07,B1,X2,M1
P00598,11,F0169,63.0,2,-1.25,A1,X1,M1
P00599,10,F0084,55.0,1,0.84,B2,X2,M2
P00600,11,F0750,68.0,1,-1.08,A1,X1,M1
P00601,7,F0209,77.0,2,-2.32,A1,X1,M1
P00602,3,F0038,65.0,2,-0.29,B2,X2,M2
P00603,12,F0419,73.0,1,0.42,A1,X1,M1
P00604,2,F0382,54.0,1,-1.56,A1,X1,M1
P00605,5,F0649,61.0,1,0.65,B1,X2,M1
P00606,4,F0870,61.0,2,0.94,B1,X2,M1
P00607,8,F0101,50.0,1,-0.66,A1,X1,M1
P00608,11,F0579,73.0,2,-0.85,B2,X2,M2
P00609,8,F0543,63.0,2,-0.81,B2,X2,M2
P00610,11,F1003,77.0,2,-1.51,A2,X1,M2
P00611,3,F0573,59.0,2,-0.04,A1,X1,M1
P00612,3,F0926,64.0,2,1.03,A2,X1,M2
P00613,5,F1008,72.0,1,0.23,B1,X2,M1
P00614,5,F0182,77.0,1,-0.25,A2,X1,M2
P00615,8,F0910,63.0,1,0.15,B2,X2,M2
P00616,4,F0294,59.0,2,-1.23,B1,X2,M1
P00617,12,F0218,52.0,2,0.80,A1,X1,M1
P00618,5,F0797,67.0,2,-1.94,A1,X1,M1
P00619,3,F0189,66.0,2,-0.01,B2,X2,M2
P00620,7,F0589,66.0,1,-0.05,A2,X1,M2
P00621,7,F0005,63.0,1,-0.91,B2,X2,M2
P00622,2,F0542,53.0,2,0.80,A2,X1,M2
P00623,6,F0065,72.0,2,-2.13,A2,X1,M2
P00624,8,F0513,56.0,1,-1.38,A1,X1,M1
P00625,8,F0347,63.0,2,0.48,B2,X2,M2
P00626,4,F0462,74.0,1,1.58,B1,X2,M1
P00627,8,F0374,61.0,2,-0.17,B1,X2,M1
P00628,12,F0826,53.0,1,1.04,B1,X2,M1
P00629,4,F0444,56.0,2,0.96,B1,X2,M1
P00630,5,F0109,65.0,1,-0.12,B1,X2,M1
P00631,12,F0373,71.0,2,-1.33,A1,X1,M1
P00632,7,F0653,59.0,1,-1.11,B2,X2,M2
P00633,5,F0812,64.0,1,1.63,B2,X2,M2
P00634,6,F0468,61.0,2,0.72,B1,X2,M1
P00635,1,F0233,55.0,2,0.41,A2,X1,M2
P00636,9,F0438,51.0,2,-0.78,A1,X1,M1
P00637,9,F0878,71.0,1,-0.63,B1,X2,M1
P00638,4,F1034,55.0,2,-0.11,B2,X2,M2
P00639,9,F0912,58.0,1,2.39,B2,X2,M2
P00640,7,F1020,68.0,2,-0.78,B1,X2,M1
P00641,4,F1016,70.0,1,1.99,A1,X1,M1
P00642,12,F1028,64.0,1,0.60,B2,X2,M2
P00643,1,F0580,59.0,1,-0.51,B1,X2,M1
P00644,5,F0384,51.0,2,-0.47,A1,X1,M1
P00645,1,F0811,60.0,2,-1.27,B1,X2,M1
P00646,12,F0245,63.0,1,-0.24,B1,X2,M1
P00647,2,F0601,74.0,1,-0.57,A2,X1,M2
P00648,8,F0765,60.0,1,0.47,B1,X2,M1
P00649,10,F1048,52.0,2,-0.29,B1,X2,M1
P00650,8,F0019,48.0,2,0.46,B1,X2,M1
P00651,9,F0708,48.0,1,-0.55,A2,X1,M2
P00652,12,F0714,57.0,1,-0.01,B2,X2,M2
P00653,9,F0258,63.0,1,0.71,B2,X2,M2
P00654,9,F0777,67.0,1,0.20,A1,X1,M1
P00655,7,F0137,59.0,1,-1.19,A2,X1,M2
P00656,11,F1021,69.0,2,-0.06,A1,X1,M1
P00657,7,F0650,70.0,1,-0.56,A1,X1,M1
P00658,10,F1035,57.0,2,0.94,A1,X1,M1
P00659,11,F0821,56.0,1,0.11,A2,X1,M2
P00660,4,F0808,56.0,1,1.44,A2,X1,M2
P00661,12,F0975,62.0,2,1.83,A1,X1,M1
P00662,1,F0786,63.0,1,1.18,A2,X1,M2
P00663,11,F0037,73.0,2,0.03,B2,X2,M2
P00664,6,F0136,67.0,2,0.13,B2,X2,M2
P00665,5,F0978,51.0,1,0.42,A2,X1,M2
P00666,11,F0355,59.0,1,0.64,B1,X2,M1
P00667,11,F0901,50.0,1,-0.12,A1,X1,M1
P00668,1,F1035,69.0,1,-1.56,A2,X1,M2
P00669,2,F0461,63.0,1,0.84,A1,X1,M1
P00670,12,F0490,56.0,1,-0.14,A1,X1,M1
P00671,7,F0640,57.0,2,0.64,B2,X2,M2
P00672,9,F0768,56.0,2,0.06,A2,X1,M2
P00673,6,F1000,66.0,1,-0.31,B1,X2,M1
P00674,11,F0286,56.0,1,0.58,B1,X2,M1
P00675,11,F0794,70.0,1,0.79,A2,X1,M2
P00676,6,F0296,63.0,1,-0.15,A1,X1,M1
P00677,5,F0636,68.0,2,1.34,A1,X1,M1
P00678,6,F1039,56.0,1,-0.43,B1,X2,M1
P00679,7,F0336,59.0,2,-0.39,A2,X1,M2
P00680,1,F0215,71.0,1,1.77,A1,X1,M1
P00681,11,F0123,48.0,1,-1.14,A2,X1,M2
P00682,9,F0609,73.0,1,-0.70,B1,X2,M1
P00683,10,F0627,61.0,2,0.49,B2,X2,M2
P00684,10,F0887,62.0,2,1.55,B1,X2,M1
P00685,5,F0628,70.0,2,0.25,B2,X2,M2
P00686,5,F0007,61.0,2,0.51,A1,X1,M1
P00687,1,F0304,48.0,2,-1.41,B2,X2,M2
P00688,12,F1010,53.0,1,0.76,A1,X1,M1
P00689,6,F0552,61.0,2,-0.46,A2,X1,M2
P00690,10,F0620,66.0,2,-1.58,B2,X2,M2
P00691,10,F0710,62.0,2,0.03,B1,X2,M1
P00692,12,F0095,63.0,1,-0.43,B2,X2,M2
P00693,4,F0171,77.0,1,-1.75,A2,X1,M2
P00694,5,F0978,63.0,1,1.77,B2,X2,M2
P00695,3,F0749,50.0,2,0.75,B2,X2,M2
P00696,2,F0583,59.0,1,-0.69,B2,X2,M2
P00697,10,F0828,56.0,2,0.78,A2,X1,M2
P00698,9,F0979,52.0,2,1.75,A2,X1,M2
P00699,3,F0816,74.0,2,0.31,A2,X1,M2
P00700,2,F0657,63.0,1,1.33,A2,X1,M2
P00701,4,F0942,70.0,2,0.27,A2,X1,M2
P00702,9,F0587,58.0,2,1.44,B2,X2,M2
P00703,11,F0861,61.0,1,-1.45,B2,X2,M2
P00704,12,F0474,74.0,1,-1.60,A2,X1,M2
P00705,4,F0603,62.0,1,2.31,A1,X1,M1
P00706,4,F0517,56.0,2,1.17,B1,X2,M1
P00707,10,F0917,63.0,2,-0.03,A2,X1,M2
P00708,12,F0011,57.0,2,-0.52,B1,X2,M1
P00709,6,F0925,65.0,2,1.18,B1,X2,M1
P00710,6,F1011,48.0,1,0.11,B1,X2,M1
P00711,12,F0469,72.0,1,0.38,B1,X2,M1
P00712,7,F0773,55.0,1,-1.65,B1,X2,M1
P00713,1,F1032,60.0,1,-0.89,A2,X1,M2
P00714,1,F0265,61.0,1,2.03,B1,X2,M1
P00715,10,F0254,72.0,1,-1.42,A2,X1,M2
P00716,2,F0961,54.0,1,0.74,A2,X1,M2
P00717,9,F0629,62.0,2,-1.25,A1,X1,M1
P00718,2,F0471,71.0,2,-0.76,B2,X2,M2
P00719,5,F0166,54.0,1,-0.32,A1,X1,M1
P00720,6,F0002,58.0,1,-0.99,A2,X1,M2
P00721,10,F0451,62.0,2,-1.57,B1,X2,M1
P00722,4,F0642,69.0,1,-0.18,B1,X2,M1
P00723,5,F0914,62.0,2,-1.38,A2,X1,M2
P00724,5,F0659,69.0,2,-0.86,A2,X1,M2
P00725,6,F0175,65.0,1,-0.62,A1,X1,M1
P00726,3,F0932,66.0,2,-0.37,B2,X2,M2
P00727,5,F0528,67.0,2,2.60,B1,X2,M1
P00728,11,F0594,48.0,2,-0.56,A1,X1,M1
P00729,2,F0401,74.0,2,0.29,B2,X2,M2
P00730,11,F0340,69.0,1,-0.43,A2,X1,M2
P00731,3,F0962,71.0,1,-0.51,A1,X1,M1
P00732,12,F0358,69.0,2,-0.65,A2,X1,M2
P00733,1,F0570,64.0,2,0.29,B2,X2,M2
P00734,2,F0103,61.0,1,1.07,A2,X1,M2
P00735,6,F0827,65.0,2,-0.56,B1,X2,M1
P00736,12,F0514,48.0,1,0.36,B1,X2,M1
P00737,3,F0696,66.0,1,1.01,B2,X2,M2
P00738,9,F0606,66.0,2,-1.36,B1,X2,M1
P00739,8,F0311,59.0,2,-1.75,B1,X2,M1
P00740,12,F0924,55.0,1,-0.37,A1,X1,M1
P00741,6,F0939,74.0,2,-1.02,A2,X1,M2
P00742,11,F0533,69.0,1,-0.98,A2,X1,M2
P00743,10,F0226,69.0,1,0.31,B2,X2,M2
P00744,2,F0924,63.0,1,0.55,B1,X2,M1
P00745,12,F0449,48.0,2,-2.02,B2,X2,M2
P00746,11,F0867,60.0,2,0.85,A1,X1,M1
P00747,3,F0736,52.0,2,-0.67,B2,X2,M2
P00748,6,F0612,51.0,1,-1.07,B2,X2,M2
P00749,6,F0314,65.0,2,-0.87,B2,X2,M2
P00750,2,F0915,63.0,1,-0.27,A2,X1,M2
P00751,1,F0921,74.0,2,0.64,A1,X1,M1
P00752,11,F0965,58.0,2,0.36,B2,X2,M2
P00753,7,F0671,56.0,1,-1.54,A1,X1,M1
P00754,8,F0220,56.0,1,-0.75,A2,X1,M2
P00755,8,F0303,54.0,1,1.22,A1,X1,M1
P00756,10,F0581,63.0,1,0.55,A1,X1,M1
P00757,3,F0040,77.0,1,-0.36,A1,X1,M1
P00758,7,F0104,64.0,2,-0.12,A1,X1,M1
P00759,10,F0645,77.0,1,0.45,A1,X1,M1
P00760,2,F0880,61.0,1,1.67,A2,X1,M2
P00761,6,F0559,61.0,1,-0.57,A1,X1,M1
P00762,5,F0991,69.0,2,0.60,B2,X2,M2
P00763,3,F0122,68.0,1,1.72,B1,X2,M1
P00764,7,F0195,68.0,1,0.61,B2,X2,M2
P00765,4,F0578,72.0,1,-0.66,B2,X2,M2
P00766,4,F0813,68.0,2,-0.47,B1,X2,M1
P00767,11,F0476,65.0,2,0.64,A2,X1,M2
P00768,10,F0842,51.0,1,-1.36,A2,X1,M2
P00769,8,F0257,67.0,1,-0.91,A1,X1,M1
P00770,5,F1017,53.0,2,1.43,A2,X1,M2
P00771,12,F0217,67.0,1,0.09,A1,X1,M1
P00772,8,F0995,53.0,1,-0.96,A1,X1,M1
P00773,7,F0184,74.0,2,-0.27,A2,X1,M2
P00774,5,F0162,61.0,1,1.05,A2,X1,M2
P00775,1,F0290,67.0,1,-0.09,B2,X2,M2
P00776,9,F0791,69.0,2,1.13,A1,X1,M1
P00777,11,F0929,67.0,2,-0.34,B1,X2,M1
P00778,12,F0416,61.0,1,-0.53,A1,X1,M1
P00779,1,F0524,53.0,2,-0.15,A2,X1,M2
P00780,3,F0951,69.0,1,-1.75,B1,X2,M1
P00781,10,F0926,62.0,1,-1.98,A1,X1,M1
P00782,8,F0854,69.0,1,-1.27,B2,X2,M2
P00783,12,F0125,71.0,2,0.13,A1,X1,M1
P00784,5,F1013,51.0,1,-0.96,B2,X2,M2
P00785,11,F0884,60.0,2,1.03,B2,X2,M2
P00786,6,F0505,62.0,1,-0.44,B1,X2,M1
P00787,12,F0276,62.0,2,1.10,B2,X2,M2
P00788,12,F0161,64.0,2,0.33,A1,X1,M1
P00789,4,F0798,63.0,1,0.30,B1,X2,M1
P00790,9,F0017,62.0,2,-1.16,A1,X1,M1
P00791,7,F0515,57.0,2,-0.36,B1,X2,M1
P00792,2,F0088,71.0,2,2.45,B1,X2,M1
P00793,7,F0991,67.0,1,-1.95,A2,X1,M2
P00794,3,F0958,56.0,1,-0.09,A2,X1,M2
P00795,7,F0639,69.0,2,-1.36,B1,X2,M1
P00796,2,F0110,48.0,2,-0.38,B2,X2,M2
P00797,4,F0875,71.0,1,-1.05,B2,X2,M2
P00798,4,F0341,60.0,1,0.57,B2,X2,M2
P00799,11,F0713,66.0,1,-0.25,B2,X2,M2
P00800,8,F0278,65.0,2,-1.12,B1,X2,M1
P00801,7,F0989,64.0,1,-0.68,A2,X1,M2
P00802,10,F1032,77.0,1,0.66,A2,X1,M2
P00803,9,F0523,72.0,1,0.44,A2,X1,M2
P00804,6,F0638,71.0,1,0.13,A1,X1,M1
P00805,12,F0595,77.0,1,-0.42,A1,X1,M1
P00806,3,F0083,57.0,2,0.31,B2,X2,M2
P00807,7,F1026,61.0,1,-1.35,A2,X1,M2
P00808,12,F0078,53.0,2,-0.64,B1,X2,M1
P00809,3,F0253,56.0,2,1.81,B2,X2,M2
P00810,3,F0670,64.0,1,0.23,A1,X1,M1
P00811,9,F0459,61.0,1,0.34,A2,X1,M2
P00812,4,F0847,57.0,1,1.43,A2,X1,M2
P00813,3,F0312,61.0,1,-1.06,A2,X1,M2
P00814,11,F0133,67.0,2,-0.84,B1,X2,M1
P00815,8,F0266,67.0,1,0.11,B1,X2,M1
P00816,7,F0025,59.0,1,-0.85,B2,X2,M2
P00817,3,F0996,56.0,1,1.37,B2,X2,M2
P00818,7,F0129,55.0,1,-0.63,A2,X1,M2
P00819,2,F0271,60.0,1,-1.47,A1,X1,M1
P00820,2,F0607,63.0,1,-1.32,B1,X2,M1
P00821,9,F0790,69.0,2,-0.79,A2,X1,M2
P00822,6,F0028,64.0,2,-0.24,B1,X2,M1
P00823,11,F0284,71.0,1,-0.12,B2,X2,M2
P00824,6,F0491,68.0,1,-0.03,B1,X2,M1
P00825,6,F0118,61.0,1,0.13,B2,X2,M2
P00826,11,F1005,63.0,1,-2.40,A2,X1,M2
P00827,1,F0592,66.0,1,-0.87,A2,X1,M2
P00828,8,F0966,75.0,1,0.43,A1,X1,M1
P00829,7,F0631,51.0,1,-0.65,B1,X2,M1
P00830,4,F0518,65.0,2,-0.67,A2,X1,M2
P00831,12,F0010,61.0,2,0.44,B1,X2,M1
P00832,8,F0264,50.0,1,-1.00,B1,X2,M1
P00833,10,F0032,57.0,2,-0.39,A2,X1,M2
P00834,12,F1036,63.0,1,-0.26,B2,X2,M2
P00835,7,F0422,48.0,1,-0.19,B2,X2,M2
P00836,2,F0769,57.0,2,0.82,B1,X2,M1
P00837,11,F0293,48.0,2,-0.55,B1,X2,M1
P00838,5,F0970,60.0,1,1.77,A1,X1,M1
P00839,3,F0739,66.0,1,0.46,A1,X1,M1
P00840,1,F0893,67.0,1,-0.19,B2,X2,M2
P00841,6,F0896,56.0,2,-0.12,A1,X1,M1
P00842,2,F0061,49.0,2,-0.20,A1,X1,M1
P00843,11,F0200,72.0,2,-0.00,A2,X1,M2
P00844,12,F0994,70.0,2,0.89,B1,X2,M1
P00845,4,F0174,55.0,1,0.28,A2,X1,M2
P00846,1,F0433,51.0,1,-0.46,A1,X1,M1
P00847,7,F0563,65.0,1,1.10,A1,X1,M1
P00848,10,F0274,58.0,2,0.18,B2,X2,M2
P00849,2,F0334,48.0,2,0.67,B1,X2,M1
P00850,8,F0889,77.0,2,-0.27,A2,X1,M2
P00851,8,F0246,77.0,1,0.78,B1,X2,M1
P00852,8,F0779,74.0,1,2.08,B2,X2,M2
P00853,11,F0752,69.0,2,-0.70,A2,X1,M2
P00854,2,F0333,53.0,2,-0.20,A1,X1,M1
P00855,8,F0871,53.0,1,0.17,B2,X2,M2
P00856,6,F0259,52.0,2,0.74,B1,X2,M1
P00857,7,F0701,72.0,1,-0.32,A1,X1,M1
P00858,6,F0546,69.0,2,0.16,B1,X2,M1
P00859,12,F0980,73.0,1,1.23,B2,X2,M2
P00860,12,F0733,71.0,1,-0.51,A1,X1,M1
P00861,3,F0938,63.0,1,-1.24,A2,X1,M2
P00862,2,F0918,72.0,1,1.32,B2,X2,M2
P00863,2,F0833,75.0,1,-0.24,B2,X2,M2
P00864,7,F0863,54.0,2,-0.41,A1,X1,M1
P00865,10,F0774,74.0,2,0.11,A1,X1,M1
P00866,6,F0728,52.0,1,-1.23,A1,X1,M1
P00867,2,F0134,70.0,2,0.54,A2,X1,M2
P00868,2,F0187,66.0,2,-0.51,B1,X2,M1
P00869,1,F0599,68.0,1,-0.15,B2,X2,M2
P00870,12,F0775,71.0,1,-2.46,B1,X2,M1
P00871,4,F0516,59.0,2,-0.57,A2,X1,M2
P00872,12,F0956,48.0,2,-0.45,B2,X2,M2
P00873,1,F0936,64.0,1,0.17,B2,X2,M2
P00874,4,F0172,68.0,1,-0.68,B1,X2,M1
P00875,7,F1013,62.0,1,-0.49,B2,X2,M2
P00876,2,F0734,74.0,1,-1.17,B2,X2,M2
P00877,12,F0057,73.0,2,-0.09,A1,X1,M1
P00878,12,F0849,67.0,1,0.99,B2,X2,M2
P00879,3,F0098,53.0,2,-0.52,B1,X2,M1
P00880,5,F1028,58.0,2,-0.12,B2,X2,M2
P00881,3,F0998,70.0,2,-0.38,B1,X2,M1
P00882,11,F0150,77.0,2,0.33,A2,X1,M2
P00883,11,F0181,60.0,2,2.28,A1,X1,M1
P00884,1,F0646,61.0,1,-1.73,B2,X2,M2
P00885,5,F0255,69.0,2,-2.16,A2,X1,M2
P00886,9,F0829,60.0,1,0.71,A2,X1,M2
P00887,6,F0913,75.0,1,-0.69,B2,X2,M2
P00888,5,F0043,54.0,2,0.37,B1,X2,M1
P00889,10,F1030,63.0,2,-0.35,A2,X1,M2
P00890,2,F0193,70.0,2,0.70,A1,X1,M1
P00891,9,F1002,59.0,2,2.24,A1,X1,M1
P00892,11,F0249,48.0,2,-0.09,A2,X1,M2
P00893,8,F1027,53.0,1,-0.15,A1,X1,M1
P00894,5,F0741,70.0,2,-2.08,B1,X2,M1
P00895,10,F0618,58.0,1,2.19,B1,X2,M1
P00896,12,F0555,49.0,1,-0.97,A1,X1,M1
P00897,2,F0431,54.0,2,-0.13,A1,X1,M1
P00898,6,F0837,61.0,1,-1.69,B1,X2,M1
P00899,2,F0117,60.0,2,1.76,B1,X2,M1
P00900,9,F0668,64.0,1,-0.58,B2,X2,M2
P00901,10,F1045,63.0,1,1.36,B2,X2,M2
P00902,9,F1016,56.0,1,-1.87,A1,X1,M1
P00903,10,F0882,70.0,2,0.76,A2,X1,M2
P00904,1,F0939,56.0,2,1.82,A2,X1,M2
P00905,8,F0784,56.0,1,0.89,A1,X1,M1
P00906,8,F0429,48.0,1,0.65,B2,X2,M2
P00907,11,F0598,62.0,2,0.68,A1,X1,M1
P00908,12,F0687,65.0,2,-0.26,A1,X1,M1
P00909,6,F0855,52.0,2,0.41,A2,X1,M2
P00910,9,F0747,59.0,2,1.61,B2,X2,M2
P00911,12,F0730,68.0,2,0.13,A2,X1,M2
P00912,7,F0981,71.0,1,-0.02,B2,X2,M2
P00913,11,F0644,75.0,2,0.78,B2,X2,M2
P00914,12,F0076,58.0,1,-0.94,A2,X1,M2
P00915,10,F0152,71.0,1,-0.70,B2,X2,M2
P00916,6,F0360,65.0,1,-0.54,B2,X2,M2
P00917,8,F0574,67.0,1,-0.26,B1,X2,M1
P00918,10,F0223,62.0,1,0.23,B2,X2,M2
P00919,9,F0675,62.0,2,-0.64,B2,X2,M2
P00920,11,F1006,67.0,1,-0.81,B1,X2,M1
P00921,4,F1023,62.0,2,-0.01,B1,X2,M1
P00922,1,F0853,66.0,2,0.32,B1,X2,M1
P00923,2,F0214,65.0,2,-0.80,A2,X1,M2
P00924,1,F1024,74.0,1,-0.49,B2,X2,M2
P00925,8,F0565,51.0,2,-0.07,A1,X1,M1
P00926,7,F0309,65.0,2,0.28,B1,X2,M1
P00927,2,F0331,55.0,2,-1.11,B1,X2,M1
P00928,4,F0989,59.0,1,0.06,B2,X2,M2
P00929,9,F1030,77.0,1,-0.11,A1,X1,M1
P00930,4,F0262,56.0,2,0.78,B2,X2,M2
P00931,6,F0944,57.0,2,2.09,A2,X1,M2
P00932,6,F0472,68.0,2,0.24,B1,X2,M1
P00933,1,F0970,62.0,1,0.86,B2,X2,M2
P00934,3,F0622,67.0,2,-1.53,A1,X1,M1
P00935,4,F0560,55.0,2,-1.53,A2,X1,M2
P00936,11,F0405,68.0,1,-0.07,B1,X2,M1
P00937,3,F0396,60.0,2,0.35,B1,X2,M1
P00938,4,F0883,66.0,1,0.80,A2,X1,M2
P00939,11,F0716,60.0,1,1.54,A2,X1,M2
P00940,8,F0704,76.0,1,-0.64,A2,X1,M2
P00941,1,F0062,60.0,1,-0.42,B1,X2,M1
P00942,2,F1045,73.0,2,0.30,B2,X2,M2
P00943,8,F0467,64.0,1,-0.31,A1,X1,M1
