pid,lang_t0_z,lang_t1_z,inh_t0_z,inh_t1_z
P00650,-0.38,-0.83,-0.88,-0.04
P00651,-0.23,-0.89,-1.09,0.48
P00652,-0.54,0.01,0.38,-0.01
P00653,1.07,0.52,0.44,0.35
P00654,1.08,0.38,-0.54,0.15
P00655,-0.73,-0.19,-2.49,-0.79
P00656,-0.25,0.68,0.66,-1.63
P00657,0.94,0.53,-0.88,-0.74
P00658,1.05,1.52,0.12,0.80
P00659,-1.61,-1.71,0.02,-1.20
P00660,-0.36,-0.18,0.32,0.03
P00661,0.91,-0.16,1.09,-0.48
P00662,-2.08,-1.53,0.51,-0.21
P00663,1.94,1.97,-1.16,-0.67
P00664,0.15,0.96,1.27,0.76
P00665,-0.17,-0.22,-1.37,-0.02
P00666,-1.06,0.52,1.22,1.67
P00667,-0.65,-1.06,1.45,0.40
P00668,1.08,,-0.92,
P00669,0.29,0.94,0.78,0.14
P00670,-1.89,-2.03,-1.29,-1.64
P00671,-1.78,0.01,-2.32,-1.37
P00672,-1.07,-0.03,-2.20,-1.52
P00673,-0.28,,1.33,
P00674,-1.16,-0.14,-1.18,0.98
P00675,-0.66,-0.99,1.79,-0.37
P00676,0.81,0.38,0.28,-0.16
P00677,2.08,1.36,1.04,1.95
P00678,-2.06,-1.56,0.15,0.23
P00679,0.11,-0.35,1.48,0.93
P00680,0.35,0.56,1.59,1.65
P00681,-1.95,-1.16,-2.73,-0.85
P00682,1.21,0.55,1.35,0.24
P00683,-0.17,-0.41,-0.05,0.80
P00684,0.24,0.27,0.44,1.27
P00685,1.55,1.06,3.74,2.52
P00686,-1.01,-1.01,1.01,0.72
P00687,-1.98,-1.84,-2.53,-1.34
P00688,-0.46,-0.29,0.51,0.89
P00689,-1.53,-1.18,1.08,0.73
P00690,0.83,0.54,0.15,-1.15
P00691,-0.80,0.92,-0.74,-0.13
P00692,-0.73,-0.06,-0.06,-0.19
P00693,0.26,-0.61,0.72,0.30
P00694,-0.68,0.30,0.22,-0.70
P00695,-0.43,-0.15,-1.89,-0.55
P00696,0.29,-0.80,-0.61,0.16
P00697,-0.69,-0.54,-1.16,-1.21
P00698,0.25,-0.64,-0.51,-1.34
P00699,1.06,0.87,-0.28,-0.17
P00700,1.15,0.13,0.24,0.24
P00701,0.74,0.53,0.68,1.11
P00702,0.03,-1.36,-0.88,-0.96
P00703,0.39,0.78,1.95,1.50
P00704,-0.61,,-0.35,
P00705,0.20,0.93,-0.83,-1.29
P00706,-0.38,,0.58,
P00707,-1.06,0.50,-0.95,-1.26
P00708,0.02,-0.02,1.32,-0.10
P00709,0.70,1.80,1.17,0.59
P00710,-2.84,,-0.69,
P00711,1.76,1.60,2.05,1.41
P00712,-0.74,-1.19,-1.97,-1.56
P00713,-0.60,0.60,0.73,0.26
P00714,0.66,1.07,1.41,0.95
P00715,0.94,0.40,0.46,-0.01
P00716,-0.88,-1.13,-0.90,-0.19
P00717,0.22,,0.82,
P00718,0.01,1.01,0.72,0.42
P00719,-0.04,0.80,-0.99,-0.63
P00720,0.13,,-0.17,
P00721,0.49,0.30,0.22,0.15
P00722,-0.73,-0.35,-0.36,-0.78
P00723,-1.11,,-0.43,
P00724,-0.40,-0.20,-0.66,1.20
P00725,0.35,,-0.96,
P00726,0.20,-0.44,-0.27,-1.35
P00727,1.77,1.41,-0.18,0.43
P00728,-1.79,,-2.35,
P00729,1.06,0.92,1.33,0.46
P00730,0.16,-0.68,1.34,1.29
P00731,1.74,0.72,0.81,0.97
P00732,-0.06,,0.10,
P00733,1.07,1.11,-1.02,1.16
P00734,0.41,0.13,0.27,-1.42
P00735,-0.11,-0.07,-0.55,-0.41
P00736,-0.28,-0.27,-0.62,-1.66
P00737,1.30,,0.72,
P00738,-1.35,1.02,-0.97,-1.13
P00739,-2.09,,1.20,
P00740,0.00,0.12,-2.08,-1.92
P00741,0.61,0.53,1.74,-0.10
P00742,-0.30,0.01,-0.96,-0.09
P00743,0.81,0.82,0.76,1.18
P00744,-0.87,-1.40,-0.60,-0.32
P00745,-1.88,,-1.13,
P00746,0.78,-0.59,0.12,0.15
P00747,0.28,-0.24,0.71,1.53
P00748,-0.23,,-0.69,
P00749,-0.06,0.45,-0.56,-0.90
P00750,1.76,0.48,0.74,0.25
P00751,0.29,0.34,0.18,-0.78
P00752,0.07,-0.81,-1.03,-0.25
P00753,-1.34,-1.46,0.02,0.98
P00754,-1.21,-1.32,0.21,-1.49
P00755,0.14,-0.05,-0.47,0.39
P00756,-0.09,-0.56,0.23,0.63
P00757,1.06,0.01,0.28,-0.65
P00758,0.37,0.18,1.04,1.04
P00759,0.62,0.25,2.14,0.36
P00760,0.63,0.23,-0.19,0.34
P00761,0.21,0.36,-0.15,0.72
P00762,0.71,0.42,1.54,0.69
P00763,-0.29,0.62,-1.20,-0.52
P00764,0.08,-0.36,0.89,-0.73
P00765,-0.47,-0.46,0.65,-0.12
P00766,-0.39,-0.36,1.06,-0.07
P00767,-0.75,0.55,-0.13,-0.46
P00768,-1.35,-0.90,0.61,0.52
P00769,-0.29,1.01,-2.05,-0.35
P00770,-1.07,-0.72,-0.13,0.81
P00771,0.29,-0.08,-2.61,-2.03
P00772,-0.89,-0.71,0.45,-0.82
P00773,0.05,0.50,0.03,-0.94
P00774,0.46,0.17,-0.22,0.39
P00775,1.16,0.97,-1.68,-0.76
P00776,0.57,0.75,-1.59,0.01
P00777,0.94,-0.65,0.57,1.06
P00778,-0.36,-0.60,0.76,-0.55
P00779,0.67,0.94,-0.30,0.88
P00780,1.06,0.29,0.13,0.10
P00781,-1.51,-1.00,-0.00,-0.97
P00782,-1.26,-1.42,-0.68,0.47
P00783,-0.16,0.68,2.10,-0.27
P00784,0.27,0.74,-0.19,-0.70
P00785,0.09,0.81,0.07,0.30
P00786,-0.99,-0.96,0.71,0.41
P00787,-0.69,-0.48,0.57,0.14
P00788,0.13,0.34,0.46,1.02
P00789,1.15,1.14,-1.14,-0.91
P00790,0.06,-0.16,1.69,1.72
P00791,-0.08,-0.38,-0.46,-1.10
P00792,1.22,0.64,0.26,0.58
P00793,0.38,1.57,0.60,0.98
P00794,-0.62,-0.85,-0.72,-0.19
P00795,-0.75,-0.88,-0.88,-0.83
P00796,-0.13,-0.11,-1.98,-1.03
P00797,0.43,0.97,-0.07,0.24
P00798,-1.81,-1.33,-0.16,1.55
P00799,0.66,1.52,0.11,0.54
P00800,-0.14,-0.08,0.75,-1.11
P00801,1.05,-0.28,0.96,0.85
P00802,1.58,1.62,1.28,0.73
P00803,-0.18,-0.05,-0.62,-0.79
P00804,-0.41,-0.74,-0.76,0.21
P00805,0.60,0.78,0.67,0.97
P00806,1.52,1.04,1.16,1.19
P00807,-0.94,-0.43,-0.32,-0.05
P00808,-0.69,1.13,-1.56,0.41
P00809,1.10,0.17,-0.92,-1.41
P00810,0.32,-0.01,-0.98,-0.38
P00811,0.21,1.62,-0.74,0.36
P00812,-0.11,-1.23,0.33,0.88
P00813,-1.58,-0.51,-0.17,-0.47
P00814,-0.50,0.99,1.25,0.21
P00815,0.05,,-0.58,
P00816,0.93,0.63,0.79,-0.34
P00817,0.70,-0.37,-2.22,-1.35
P00818,0.04,0.55,-0.24,1.26
P00819,-0.43,-0.01,0.95,-0.21
P00820,0.05,0.36,0.85,0.00
P00821,0.39,0.66,0.92,-0.03
P00822,-1.34,-1.16,0.70,2.42
P00823,1.48,0.61,2.07,1.46
P00824,0.06,0.45,1.48,2.06
P00825,-0.28,,-0.71,
P00826,-1.75,,-1.40,
P00827,-0.56,,-0.98,
P00828,1.28,1.83,0.03,-0.61
P00829,-0.42,-0.58,0.45,-0.17
P00830,-0.34,-0.38,0.10,0.37
P00831,0.46,-0.13,-0.85,-0.74
P00832,-0.02,-1.59,-2.56,-1.51
P00833,0.36,-0.16,0.74,0.23
P00834,0.25,0.96,0.28,0.48
P00835,-1.86,-0.27,-2.35,-1.86
P00836,-0.62,0.17,1.02,1.40
P00837,-1.86,-0.84,-1.01,1.56
P00838,1.71,0.48,0.73,-0.11
P00839,-0.18,-0.65,-0.19,0.10
P00840,-0.17,-0.50,0.50,-0.12
P00841,-0.11,0.30,0.96,0.71
P00842,-1.04,-0.43,-0.29,-0.44
P00843,0.57,0.07,0.28,0.20
P00844,0.62,0.47,-1.98,-2.16
P00845,-1.52,-1.54,-0.07,-1.44
P00846,-1.24,-1.21,-0.99,-0.94
P00847,0.77,0.97,-0.45,-0.30
P00848,-1.04,-0.24,1.57,0.34
P00849,-0.95,-0.54,0.35,-0.20
P00850,0.40,0.25,-0.42,-1.12
P00851,1.08,0.99,0.35,1.44
P00852,0.74,0.71,0.95,-0.15
P00853,-0.16,-0.26,0.93,0.37
P00854,-0.09,0.30,-0.70,-0.41
P00855,-0.96,,-1.55,
P00856,-1.44,-0.95,-0.40,-0.11
P00857,0.09,0.81,-0.53,-1.44
P00858,-0.93,-0.52,-1.94,-0.00
P00859,0.80,,1.74,
P00860,0.29,0.48,1.38,0.59
P00861,0.84,1.25,0.45,0.34
P00862,1.81,1.15,1.97,1.29
P00863,1.82,0.41,0.95,1.07
P00864,-1.97,-1.05,-0.03,0.79
P00865,0.68,0.70,0.30,-0.87
P00866,-1.04,-1.02,0.15,-0.52
P00867,0.93,0.87,0.90,-1.60
P00868,-0.20,,0.29,
P00869,1.72,2.11,0.11,-1.01
P00870,-1.68,-0.49,-1.19,-0.04
P00871,-0.70,-0.20,1.46,-0.58
P00872,-1.64,-1.88,-1.53,-1.38
P00873,0.83,0.04,-2.00,-1.32
P00874,-0.37,0.14,0.31,0.01
P00875,0.10,0.11,-0.12,0.12
P00876,0.36,0.32,-0.99,-0.38
P00877,-0.72,-0.56,0.99,0.91
P00878,0.34,1.06,-0.05,-0.06
P00879,0.71,0.58,2.16,3.00
P00880,-0.57,-0.74,-0.72,-0.52
P00881,2.08,0.70,0.22,0.91
P00882,0.56,-0.05,0.27,0.08
P00883,-1.03,-0.58,0.26,-0.81
P00884,-0.96,-0.77,-0.66,-0.05
P00885,1.54,0.26,1.78,2.15
P00886,-0.12,0.78,0.13,0.91
P00887,0.14,0.65,0.20,-0.42
P00888,-1.01,-0.31,-0.41,-0.14
P00889,-0.26,0.02,-1.21,-0.42
P00890,1.26,1.20,-0.32,-0.60
P00891,0.03,0.11,0.76,2.23
P00892,0.22,0.79,0.61,0.71
P00893,-0.47,-1.52,-0.58,-0.37
P00894,-0.03,-0.51,0.57,-0.36
P00895,0.90,0.82,-0.29,-1.01
P00896,-0.67,-0.58,-0.50,0.23
P00897,-1.07,-0.55,-1.73,-2.16
P00898,-0.72,0.01,-0.17,-0.04
P00899,0.63,1.77,0.09,-0.33
P00900,-0.79,-0.72,0.40,-1.02
P00901,-0.49,-0.07,1.06,1.20
P00902,-1.89,-0.85,0.79,-0.11
P00903,0.20,0.67,-0.33,0.53
P00904,0.55,0.41,-0.48,0.08
P00905,-0.42,0.20,0.82,1.46
P00906,-1.51,-1.29,-0.77,-0.41
P00907,1.09,0.94,0.77,0.07
P00908,-0.24,,-0.94,
P00909,-1.18,,1.15,
P00910,1.23,0.23,0.46,0.03
P00911,-0.11,-0.01,0.88,0.70
P00912,0.98,1.11,0.11,1.67
P00913,2.25,1.68,-0.74,-1.24
P00914,-0.39,-0.66,-1.17,-1.73
P00915,0.50,-0.34,-2.99,-1.75
P00916,-0.26,0.75,0.76,1.55
P00917,-0.34,0.03,0.64,-0.65
P00918,1.16,0.60,0.93,0.35
P00919,0.93,1.15,0.34,0.24
P00920,-0.61,-1.56,1.83,2.03
P00921,0.61,-0.06,1.37,1.19
P00922,0.38,-0.29,-0.12,-1.63
P00923,1.11,-0.15,0.91,0.10
P00924,0.40,1.08,-0.11,0.27
P00925,-0.83,-0.60,-0.15,0.93
P00926,-1.39,-0.83,-2.00,-0.29
P00927,-0.16,0.54,-0.37,-0.50
P00928,-0.59,0.01,0.24,-0.40
P00929,-0.46,-0.27,-0.36,0.41
P00930,0.55,0.67,0.19,0.37
P00931,-0.37,-0.73,-0.74,-0.64
P00932,0.85,1.19,1.27,-0.50
P00933,0.51,-0.04,-0.03,-0.76
P00934,-0.59,0.71,0.50,1.36
P00935,-1.64,-0.70,-1.73,-2.20
P00936,1.07,0.85,1.61,1.42
P00937,-0.08,0.52,-0.73,-0.42
P00938,-1.10,-1.85,-0.89,-0.92
P00939,1.89,0.28,0.46,0.16
P00940,2.56,1.86,1.36,0.73
P00941,-1.66,-0.41,0.08,-0.39
P00942,1.25,0.51,1.35,0.60
P00943,0.72,0.01,1.18,1.30
P00944,0.04,0.42,0.06,1.20
P00945,0.33,0.22,-1.43,-0.68
P00946,-2.17,-1.20,-1.59,-1.39
P00947,2.23,2.24,-0.33,-0.81
P00948,-0.49,0.21,0.18,-0.43
P00949,-1.02,-1.98,0.59,-0.11
P00950,0.15,0.09,-0.45,-0.55
P00951,0.77,0.06,-0.45,-1.37
P00952,0.04,0.87,-0.31,0.67
P00953,0.34,1.05,0.44,0.50
P00954,-1.09,,-2.68,
P00955,-1.53,,0.32,
P00956,-0.40,-0.30,-0.93,-0.28
P00957,1.59,0.91,0.47,0.39
P00958,-1.30,-1.68,-0.64,0.26
P00959,-0.73,0.05,0.60,0.83
P00960,0.76,-0.47,0.80,-0.15
P00961,0.60,-0.49,0.30,-0.19
P00962,0.55,0.93,1.70,0.63
P00963,0.05,1.15,0.42,-0.19
P00964,1.50,1.39,0.54,-0.18
P00965,-0.23,-0.04,-0.91,-1.06
P00966,0.83,0.40,1.44,1.31
P00967,-0.95,-1.37,-0.58,0.16
P00968,-0.75,-0.57,0.17,-0.23
P00969,-1.28,0.33,-0.48,0.39
P00970,-0.17,0.75,-0.16,0.13
P00971,-0.31,0.88,0.53,0.78
P00972,-0.23,0.01,0.59,0.24
P00973,1.06,0.38,0.34,1.03
P00974,-0.39,-0.23,-0.40,-0.64
P00975,0.11,1.39,1.24,1.38
P00976,0.69,-0.18,-1.11,-0.38
P00977,0.64,1.42,1.91,2.25
P00978,-1.11,-0.66,-0.11,0.62
P00979,1.07,1.24,-0.28,-1.09
P00980,-0.95,-0.63,0.95,0.43
P00981,-0.06,0.33,1.00,-0.16
P00982,-0.01,0.17,-0.02,-0.01
P00983,-0.45,-1.21,-1.26,-0.47
P00984,1.74,2.69,0.60,0.39
P00985,-0.81,0.28,1.01,1.74
P00986,0.44,0.07,0.05,0.27
P00987,-2.61,-1.24,-0.79,-1.01
P00988,-0.05,-0.06,-0.73,0.39
P00989,1.64,2.91,1.01,2.13
P00990,0.09,-0.61,0.13,1.32
P00991,-0.35,1.54,-0.17,-0.79
P00992,-0.27,-0.89,0.96,-0.16
P00993,1.15,0.62,0.15,1.04
P00994,0.67,0.84,1.64,1.28
P00995,-1.01,0.04,-0.66,-0.11
P00996,0.04,-0.55,-0.23,-0.83
P00997,0.71,1.40,-0.41,-0.71
P00998,2.60,1.14,1.97,1.00
P00999,1.21,0.89,0.28,-0.35
P01000,0.24,-0.46,-0.08,-0.33
P01001,-0.15,-0.16,0.23,-0.11
P01002,-0.34,-0.24,-0.10,0.61
P01003,1.85,0.60,-0.43,-0.50
P01004,1.08,0.83,1.34,1.40
P01005,-2.01,,-1.75,
P01006,-0.33,,0.43,
P01007,-2.40,-1.09,1.11,0.18
P01008,0.21,,-0.98,
P01009,-0.02,0.82,1.02,-1.33
P01010,-0.17,0.99,0.91,1.72
P01011,-0.37,-0.38,-0.41,-0.58
P01012,-0.08,-0.25,-1.03,-1.39
P01013,0.26,0.57,-0.60,0.03
P01014,-0.52,,-0.41,
P01015,-0.52,-0.33,0.73,0.35
P01016,-1.66,-0.14,-0.67,-1.03
P01017,1.22,1.08,3.08,1.18
P01018,1.48,1.13,-0.25,-0.61
P01019,-0.27,-0.07,1.05,1.42
P01020,2.06,1.61,2.40,1.55
P01021,-0.28,-1.09,-0.21,-0.86
P01022,-0.42,-0.55,-0.32,-0.71
P01023,0.89,1.15,-0.07,1.52
P01024,1.02,0.41,0.80,-0.40
P01025,0.78,0.06,-0.08,0.27
P01026,1.63,0.81,0.86,0.33
P01027,0.58,-0.14,-1.52,0.42
P01028,-0.48,,-1.02,
P01029,1.16,1.25,0.54,1.16
P01030,0.14,-0.77,2.19,1.72
P01031,0.54,0.27,0.38,-0.84
P01032,-0.04,1.04,0.52,-0.11
P01033,0.71,-0.14,0.97,-1.38
P01034,0.02,-0.70,-0.11,-0.64
P01035,-0.01,0.31,-1.10,-0.22
P01036,0.96,1.28,-1.78,-0.64
P01037,0.11,0.03,0.82,-0.34
P01038,0.47,0.48,1.02,1.17
P01039,-1.13,-0.64,0.60,0.01
P01040,-0.69,-0.58,-3.09,-1.22
P01041,0.25,-0.51,-0.98,-0.68
P01042,-0.79,0.04,-0.88,0.27
P01043,-2.17,,-0.27,
P01044,-0.19,-0.21,1.35,0.49
P01045,-0.30,-0.78,-1.92,-0.74
P01046,-0.39,-0.59,0.16,0.54
P01047,-0.23,0.67,-1.71,-1.31
P01048,2.58,1.07,0.32,0.54
P01049,-1.32,-1.51,-1.31,-0.24
P01050,-0.77,-0.03,0.34,-0.39
P01051,1.80,,0.93,
P01052,-0.51,0.65,0.78,0.02
P01053,0.58,0.98,0.53,-0.11
P01054,-0.87,-0.23,-1.24,-2.79
P01055,-0.92,,-0.33,
P01056,-0.13,-0.53,0.62,-0.60
P01057,-0.87,-1.33,-1.42,-1.22
P01058,-0.15,1.04,-0.27,-0.44
P01059,-1.50,-0.96,-1.31,-0.77
P01060,-0.72,-0.95,-0.14,0.68
P01061,1.07,0.95,2.09,0.72
P01062,-1.04,-0.36,-0.41,-0.84
P01063,0.80,0.76,-0.54,-0.90
P01064,-0.72,0.55,-1.01,-0.42
P01065,-0.07,-1.16,0.43,-0.55
P01066,1.88,0.89,1.12,-0.23
P01067,0.45,1.94,0.39,-0.47
P01068,-0.48,-0.20,-0.86,0.25
P01069,0.47,-0.09,0.74,1.01
P01070,0.29,-0.51,-1.92,-1.56
P01071,-1.46,-1.00,-1.66,-0.35
P01072,2.16,1.72,1.54,1.06
P01073,0.25,1.33,-0.97,-0.12
P01074,0.24,0.05,1.95,-0.17
P01075,0.66,,0.29,
P01076,-0.19,-1.46,-0.39,-1.70
P01077,3.39,3.11,0.77,-0.60
P01078,-0.51,-0.15,-0.10,0.85
P01079,-0.50,-0.08,-0.02,-0.52
P01080,-0.30,-0.12,-1.06,-1.59
P01081,1.03,0.55,0.61,-0.19
P01082,0.37,-0.07,2.19,1.81
P01083,2.80,3.15,2.39,0.53
P01084,0.92,0.36,-0.07,0.90
P01085,-0.22,-0.41,-0.41,-0.59
P01086,-1.29,-1.08,0.53,0.38
P01087,-0.90,-0.44,-0.49,-0.43
P01088,-0.55,,-1.38,
P01089,-0.14,0.09,1.05,-1.16
P01090,-1.51,-0.90,-1.03,0.20
P01091,-0.22,,1.24,
P01092,-0.60,-0.45,-0.66,-0.97
P01093,-0.35,0.56,-0.37,0.43
P01094,-0.66,,-0.04,
P01095,1.72,1.69,1.37,0.96
P01096,-1.13,-0.82,0.67,-0.39
P01097,1.11,0.59,-0.30,-0.27
P01098,-0.18,-0.64,-1.07,-0.19
P01099,-2.02,,0.15,
P01100,-0.75,-1.76,-0.77,-1.12
P01101,-0.02,0.41,0.64,0.17
P01102,-0.35,-0.31,1.02,0.67
P01103,0.37,-0.26,-0.17,0.71
P01104,-1.09,-0.79,-0.63,-1.03
P01105,0.74,-0.67,-0.32,0.45
P01106,0.55,1.06,0.97,1.02
P01107,1.57,1.21,1.79,1.48
P01108,-0.82,-0.22,-0.87,0.01
P01109,0.97,-0.14,-0.04,-0.34
P01110,-1.07,-0.79,0.29,0.55
P01111,-1.37,-0.72,-2.03,-1.55
P01112,1.23,0.94,0.57,2.00
P01113,0.23,-0.18,0.31,0.49
P01114,-0.49,,0.06,
P01115,-0.47,-1.51,-0.46,-0.12
P01116,0.60,0.79,0.59,-0.85
P01117,-1.56,-0.28,0.03,1.20
P01118,-0.45,-0.82,-0.22,-1.16
P01119,-0.93,-0.05,0.05,-0.39
P01120,0.58,-0.12,0.12,-0.16
P01121,-2.19,-1.84,0.44,0.33
P01122,-1.80,-1.29,1.47,1.21
P01123,-0.43,-0.54,-0.44,0.14
P01124,0.24,-0.24,0.46,-0.34
P01125,-0.44,-1.33,0.75,-0.49
P01126,0.80,1.09,-0.24,-0.42
P01127,0.69,0.31,-0.03,0.06
P01128,-1.74,-1.77,0.93,0.17
P01129,0.90,0.95,-0.15,0.70
P01130,1.70,1.77,1.90,1.00
P01131,1.22,0.81,-1.57,-2.18
P01132,0.09,0.38,-0.24,0.91
P01133,-0.82,-0.61,-0.75,-0.86
P01134,-0.63,-1.24,0.97,0.56
P01135,-0.40,-0.68,-1.43,-1.33
P01136,1.01,0.95,-0.44,-1.23
P01137,-3.06,-2.09,0.07,-0.29
P01138,-1.00,-0.85,0.07,-0.20
P01139,-0.24,-0.03,-0.30,0.43
P01140,0.77,0.37,-0.53,1.04
P01141,1.16,0.67,0.95,0.60
P01142,1.00,1.97,-0.37,-0.73
P01143,0.93,0.70,-0.66,-0.44
P01144,-1.07,,-0.77,
P01145,1.12,0.44,2.23,1.19
P01146,-0.69,-0.93,-0.23,0.64
P01147,1.85,1.89,1.85,1.19
P01148,-1.49,-0.84,0.39,-0.52
P01149,0.26,0.06,-0.25,-0.40
P01150,-0.04,,-0.79,
P01151,-0.11,-0.26,0.86,0.09
P01152,-0.98,-1.37,-1.68,-1.37
P01153,0.51,-0.14,-0.39,-0.22
P01154,0.55,0.61,-1.02,-0.52
P01155,-0.83,,-0.78,
P01156,1.32,0.80,-0.21,-1.12
P01157,-1.74,-2.56,-0.09,1.01
P01158,1.31,0.72,1.18,2.05
P01159,0.11,,-0.36,
P01160,-1.31,-1.36,-0.63,-0.27
P01161,0.57,1.75,0.93,0.64
P01162,0.87,0.17,-0.56,0.15
P01163,-1.00,-0.89,0.41,0.86
P01164,-0.35,-0.60,-0.23,-0.40
P01165,-0.42,-1.22,0.29,2.25
P01166,1.70,1.37,-0.13,0.06
P01167,0.07,0.90,-0.37,0.05
P01168,0.52,1.14,0.31,0.59
P01169,0.21,0.22,0.07,-1.35
P01170,-0.79,0.36,0.26,-0.18
P01171,-0.15,-0.70,0.51,0.29
P01172,0.67,-0.22,-0.65,0.63
P01173,1.09,0.15,-0.38,-0.51
P01174,0.35,0.64,0.56,-0.21
P01175,0.19,,-0.49,
P01176,0.07,-0.01,-0.21,1.05
P01177,1.00,,-0.08,
P01178,-1.20,-0.93,-0.73,-0.04
P01179,1.49,,1.33,
P01180,0.07,,0.02,
P01181,-1.23,-0.08,1.04,-0.00
P01182,0.48,1.04,1.16,0.85
P01183,0.68,1.82,0.13,0.23
P01184,-0.66,-1.41,0.93,0.24
P01185,0.49,1.37,0.81,0.28
P01186,-0.52,-0.84,-0.63,-0.88
P01187,-0.83,0.76,-0.78,-0.47
P01188,-0.33,-1.04,-0.98,-1.01
P01189,0.02,-0.58,-1.09,0.07
P01190,1.29,0.81,-0.14,-1.30
P01191,-1.19,-0.15,-0.51,-0.81
P01192,0.40,0.42,0.02,-0.19
P01193,0.82,0.50,-0.22,0.81
P01194,0.18,0.59,0.80,0.24
P01195,-0.17,-1.05,0.37,1.49
P01196,-1.63,-0.18,-0.58,0.42
P01197,0.80,0.59,-0.43,-0.46
P01198,0.11,-0.38,-0.04,0.41
P01199,-0.15,-0.68,0.23,0.69
P01200,0.34,-0.12,1.00,0.44
