pid,msu_t0,msu_t1,coop_ms_t0,coop_ms_t1,share_t0,share_t1
P00551,2,3.0,0.000,0.000,0.356,0.399
P00552,3,3.0,0.713,0.422,0.515,0.620
P00553,5,8.0,0.724,1.000,0.386,0.471
P00554,1,8.0,0.348,0.482,0.588,0.682
P00555,1,1.0,0.000,0.000,0.444,0.460
P00556,4,,0.525,,0.465,
P00557,3,7.0,0.133,0.273,0.587,0.687
P00558,3,5.0,0.424,0.556,0.589,0.774
P00559,2,2.0,0.158,0.170,0.332,0.297
P00560,4,6.0,0.000,0.087,0.170,0.075
P00561,4,8.0,0.504,0.602,0.495,0.358
P00562,3,7.0,0.814,0.968,0.481,0.632
P00563,2,5.0,0.110,0.313,0.489,0.386
P00564,0,2.0,0.000,0.000,0.308,0.354
P00565,0,0.0,0.000,0.023,0.455,0.609
P00566,10,10.0,0.467,0.301,0.412,0.437
P00567,6,11.0,0.441,0.466,0.544,0.567
P00568,0,0.0,0.120,0.181,0.732,0.741
P00569,4,11.0,0.000,0.119,0.325,0.254
P00570,3,7.0,0.000,0.209,0.225,0.200
P00571,3,8.0,0.101,0.097,0.541,0.395
P00572,0,1.0,0.000,0.000,0.262,0.162
P00573,2,2.0,0.217,0.304,0.398,0.313
P00574,3,4.0,0.000,0.213,0.239,0.344
P00575,3,5.0,0.472,0.651,0.408,0.441
P00576,1,,0.000,,0.159,
P00577,5,6.0,0.452,0.548,0.731,0.719
P00578,2,3.0,0.055,0.182,0.469,0.543
P00579,1,6.0,0.000,0.000,0.306,0.006
P00580,3,5.0,0.000,0.000,0.446,0.441
P00581,0,2.0,0.000,0.119,0.218,0.334
P00582,1,1.0,0.000,0.091,0.081,0.038
P00583,4,4.0,0.369,0.263,0.413,0.402
P00584,4,6.0,0.184,0.106,0.348,0.333
P00585,2,3.0,0.077,0.059,0.707,0.766
P00586,2,3.0,0.000,0.054,0.374,0.184
P00587,2,3.0,0.000,0.123,0.550,0.605
P00588,2,2.0,1.000,0.923,0.448,0.546
P00589,5,13.0,0.666,0.581,0.545,0.285
P00590,2,2.0,0.000,0.014,0.061,0.001
P00591,0,3.0,0.319,0.405,0.585,0.522
P00592,2,5.0,0.236,0.071,0.088,0.000
P00593,1,1.0,0.000,0.000,0.371,0.288
P00594,2,5.0,0.725,0.631,0.580,0.569
P00595,0,3.0,0.000,0.170,0.255,0.185
P00596,1,6.0,0.000,0.293,0.522,0.518
P00597,1,7.0,0.000,0.000,0.245,0.265
P00598,1,6.0,0.633,0.587,0.331,0.218
P00599,2,2.0,0.000,0.000,0.147,0.367
P00600,3,6.0,0.000,0.000,0.495,0.550
P00601,2,8.0,0.000,0.000,0.248,0.216
P00602,1,2.0,0.000,0.065,0.383,0.339
P00603,0,9.0,0.000,0.164,0.460,0.633
P00604,0,,0.000,,0.318,
P00605,2,7.0,0.000,0.005,0.303,0.456
P00606,0,4.0,0.000,0.082,0.287,0.482
P00607,0,1.0,0.000,0.065,0.476,0.588
P00608,3,5.0,0.580,0.572,0.725,0.636
P00609,0,1.0,0.000,0.117,0.182,0.206
P00610,1,1.0,0.000,0.037,0.312,0.306
P00611,1,3.0,0.000,0.170,0.092,0.000
P00612,1,2.0,0.023,0.000,0.384,0.545
P00613,4,5.0,0.666,0.745,0.358,0.392
P00614,0,0.0,0.000,0.000,0.230,0.227
P00615,4,5.0,0.156,0.402,0.549,0.548
P00616,4,8.0,0.000,0.090,0.258,0.383
P00617,3,8.0,0.000,0.176,0.359,0.425
P00618,1,5.0,0.000,0.363,0.515,0.649
P00619,4,5.0,0.375,0.465,0.406,0.283
P00620,3,4.0,0.477,0.273,0.451,0.450
P00621,2,3.0,0.000,0.000,0.227,0.371
P00622,1,1.0,0.000,0.000,0.246,0.350
P00623,0,,0.000,,0.215,
P00624,0,2.0,0.000,0.000,0.335,0.164
P00625,3,4.0,0.572,0.570,0.531,0.566
P00626,1,6.0,0.000,0.047,0.265,0.323
P00627,0,,0.286,,0.254,
P00628,5,8.0,0.000,0.011,0.334,0.489
P00629,1,6.0,0.000,0.166,0.299,0.304
P00630,3,11.0,0.557,0.761,0.511,0.673
P00631,3,5.0,0.089,0.170,0.748,0.888
P00632,2,3.0,0.000,0.000,0.243,0.107
P00633,4,5.0,0.000,0.055,0.242,0.289
P00634,2,7.0,0.000,0.173,0.379,0.335
P00635,3,4.0,0.000,0.000,0.514,0.528
P00636,1,8.0,0.000,0.115,0.349,0.157
P00637,3,,0.447,,0.785,
P00638,0,0.0,0.000,0.063,0.238,0.419
P00639,0,4.0,0.980,1.000,0.520,0.438
P00640,4,8.0,0.229,0.359,0.367,0.545
P00641,3,7.0,0.000,0.006,0.094,0.000
P00642,2,2.0,1.000,1.000,0.491,0.442
P00643,3,4.0,0.000,0.043,0.304,0.268
P00644,4,6.0,0.182,0.450,0.741,1.000
P00645,3,7.0,0.000,0.000,0.190,0.143
P00646,4,4.0,0.244,0.286,0.466,0.404
P00647,3,6.0,0.534,0.678,0.420,0.316
P00648,2,4.0,0.317,0.260,0.491,0.477
P00649,3,9.0,0.000,0.027,0.515,0.548
P00650,1,5.0,0.000,0.000,0.241,0.270
P00651,1,2.0,0.026,0.000,0.435,0.567
P00652,2,2.0,0.175,0.230,0.211,0.226
P00653,4,6.0,0.207,0.093,0.527,0.417
P00654,3,6.0,0.289,0.441,0.334,0.543
P00655,0,1.0,0.000,0.000,0.327,0.483
P00656,1,7.0,0.000,0.186,0.322,0.375
P00657,1,6.0,0.077,0.157,0.442,0.506
P00658,3,8.0,0.499,0.357,0.466,0.279
P00659,0,1.0,0.000,0.000,0.464,0.474
P00660,5,6.0,0.000,0.121,0.328,0.268
P00661,1,4.0,0.197,0.378,0.510,0.441
P00662,1,1.0,0.000,0.048,0.183,0.240
P00663,2,4.0,1.000,1.000,0.472,0.230
P00664,2,2.0,0.000,0.000,0.439,0.464
P00665,2,3.0,0.000,0.236,0.019,0.083
P00666,2,4.0,0.000,0.057,0.211,0.307
P00667,3,4.0,0.000,0.044,0.267,0.232
P00668,2,,0.000,,0.295,
P00669,2,6.0,0.184,0.334,0.511,0.596
P00670,1,7.0,0.000,0.000,0.302,0.327
P00671,2,2.0,0.000,0.029,0.555,0.761
P00672,0,0.0,0.000,0.205,0.209,0.269
P00673,4,,0.377,,0.496,
P00674,1,7.0,0.000,0.089,0.310,0.244
P00675,0,1.0,0.000,0.013,0.216,0.390
P00676,3,15.0,0.217,0.338,0.415,0.399
P00677,1,7.0,0.560,0.382,0.392,0.368
P00678,0,2.0,0.000,0.000,0.136,0.215
P00679,3,5.0,0.248,0.180,0.446,0.520
P00680,4,8.0,0.241,0.344,0.439,0.489
P00681,0,1.0,0.000,0.000,0.192,0.319
P00682,2,5.0,0.164,0.134,0.269,0.391
P00683,0,1.0,0.107,0.310,0.474,0.329
P00684,0,9.0,0.000,0.004,0.521,0.469
P00685,9,11.0,0.968,0.945,0.429,0.350
P00686,1,3.0,0.000,0.211,0.311,0.443
P00687,0,1.0,0.000,0.132,0.194,0.103
P00688,2,8.0,0.000,0.221,0.481,0.601
P00689,1,3.0,0.000,0.109,0.228,0.267
P00690,2,2.0,0.643,0.592,0.414,0.566
P00691,1,11.0,0.000,0.000,0.159,0.417
P00692,0,0.0,0.000,0.093,0.364,0.354
P00693,0,3.0,0.000,0.071,0.220,0.398
P00694,2,3.0,0.000,0.132,0.495,0.587
P00695,1,1.0,0.000,0.052,0.218,0.146
P00696,2,2.0,0.044,0.084,0.212,0.243
P00697,2,4.0,0.000,0.000,0.267,0.397
P00698,1,2.0,0.000,0.000,0.214,0.236
P00699,3,3.0,0.239,0.099,0.498,0.429
P00700,7,8.0,0.635,0.625,0.350,0.403
P00701,0,1.0,0.083,0.000,0.229,0.185
P00702,1,1.0,0.000,0.105,0.298,0.378
P00703,4,4.0,0.388,0.529,0.313,0.345
P00704,0,,0.000,,0.725,
P00705,1,7.0,0.376,0.324,0.628,0.867
P00706,2,,0.170,,0.173,
P00707,0,0.0,0.000,0.221,0.122,0.142
P00708,1,9.0,0.000,0.284,0.307,0.458
P00709,2,7.0,0.564,0.639,0.542,0.365
P00710,1,,0.000,,0.425,
P00711,2,9.0,1.000,1.000,0.716,0.620
P00712,1,6.0,0.000,0.028,0.297,0.424
P00713,1,4.0,0.000,0.057,0.405,0.346
P00714,3,5.0,0.432,0.602,0.324,0.375
P00715,6,6.0,0.000,0.000,0.545,0.677
P00716,0,1.0,0.000,0.017,0.393,0.424
P00717,4,,0.000,,0.051,
P00718,4,4.0,0.097,0.000,0.661,0.672
P00719,1,5.0,0.088,0.288,0.651,0.279
P00720,1,,0.167,,0.159,
P00721,2,4.0,0.000,0.041,0.517,0.524
P00722,1,5.0,0.000,0.000,0.260,0.000
P00723,0,,0.000,,0.318,
P00724,1,2.0,0.010,0.000,0.249,0.092
P00725,1,,0.000,,0.104,
P00726,1,3.0,0.071,0.000,0.438,0.494
P00727,3,7.0,0.484,0.708,0.249,0.096
P00728,0,,0.000,,0.197,
P00729,5,5.0,0.770,0.498,0.406,0.545
P00730,3,6.0,0.000,0.000,0.324,0.221
P00731,3,10.0,0.456,0.588,0.554,0.711
P00732,0,,0.000,,0.426,
P00733,1,1.0,0.269,0.478,0.479,0.483
P00734,2,3.0,0.000,0.111,0.522,0.519
P00735,1,8.0,0.016,0.040,0.309,0.431
P00736,1,5.0,0.000,0.018,0.628,0.597
P00737,4,,0.609,,0.697,
P00738,1,5.0,0.000,0.000,0.588,0.392
P00739,2,,0.000,,0.350,
P00740,4,7.0,0.087,0.207,0.434,0.469
P00741,2,2.0,0.357,0.411,0.631,0.463
P00742,2,4.0,0.211,0.195,0.246,0.189
P00743,2,2.0,0.443,0.508,0.578,0.410
P00744,2,7.0,0.000,0.182,0.529,0.708
P00745,0,,0.000,,0.421,
P00746,1,6.0,0.103,0.277,0.099,0.221
P00747,2,3.0,0.197,0.344,0.526,0.447
P00748,2,,0.000,,0.347,
P00749,1,2.0,0.162,0.148,0.524,0.464
P00750,4,6.0,0.981,0.987,0.624,0.505
P00751,1,11.0,0.000,0.093,0.502,0.493
P00752,2,2.0,0.000,0.000,0.514,0.603
P00753,3,5.0,0.000,0.000,0.315,0.323
P00754,2,2.0,0.000,0.048,0.313,0.256
P00755,0,2.0,0.082,0.034,0.409,0.502
P00756,2,4.0,0.000,0.181,0.534,0.412
P00757,4,7.0,0.551,0.625,0.491,0.423
P00758,1,5.0,0.669,0.669,0.299,0.342
P00759,0,2.0,0.255,0.153,0.463,0.476
P00760,1,2.0,0.719,0.603,0.507,0.484
P00761,2,7.0,0.000,0.236,0.394,0.298
P00762,0,1.0,0.711,0.862,0.892,1.000
P00763,0,5.0,0.000,0.137,0.296,0.185
P00764,4,5.0,0.726,0.610,0.725,0.678
P00765,1,1.0,0.000,0.000,0.425,0.573
P00766,1,9.0,0.052,0.000,0.392,0.282
P00767,1,2.0,0.000,0.077,0.390,0.340
P00768,1,2.0,0.000,0.000,0.391,0.513
P00769,4,11.0,0.000,0.221,0.516,0.445
P00770,2,3.0,0.000,0.084,0.447,0.588
P00771,0,8.0,0.000,0.085,0.000,0.000
P00772,2,8.0,0.000,0.012,0.228,0.257
P00773,4,5.0,0.172,0.140,0.275,0.500
P00774,5,5.0,0.279,0.233,0.505,0.445
P00775,1,1.0,0.455,0.647,0.416,0.485
P00776,1,3.0,0.000,0.144,0.386,0.592
P00777,1,6.0,0.082,0.315,0.553,0.471
P00778,1,5.0,0.074,0.163,0.314,0.556
P00779,0,0.0,0.113,0.071,0.459,0.495
P00780,3,11.0,0.345,0.218,0.618,0.480
P00781,3,5.0,0.000,0.264,0.526,0.397
P00782,0,1.0,0.000,0.000,0.319,0.331
P00783,0,3.0,0.000,0.047,0.735,0.933
P00784,2,4.0,0.211,0.306,0.432,0.352
P00785,3,6.0,0.086,0.129,0.157,0.206
P00786,0,4.0,0.000,0.000,0.056,0.272
P00787,3,3.0,0.000,0.188,0.836,0.735
P00788,0,6.0,0.000,0.000,0.350,0.310
P00789,7,15.0,0.592,0.860,0.509,0.615
P00790,1,5.0,0.256,0.319,0.643,0.649
P00791,0,3.0,0.000,0.164,0.526,0.639
P00792,3,7.0,0.996,0.993,0.279,0.252
P00793,2,2.0,0.203,0.165,0.653,0.699
P00794,0,2.0,0.000,0.000,0.104,0.227
P00795,1,6.0,0.000,0.000,0.154,0.101
P00796,3,4.0,0.166,0.157,0.522,0.646
P00797,1,2.0,0.239,0.314,0.407,0.530
P00798,0,1.0,0.000,0.134,0.288,0.174
P00799,2,2.0,0.509,0.505,0.423,0.556
P00800,3,9.0,0.195,0.379,0.334,0.571
P00801,4,4.0,0.484,0.597,0.520,0.493
P00802,6,7.0,0.827,0.762,0.418,0.439
P00803,0,3.0,0.088,0.000,0.353,0.269
P00804,1,4.0,0.000,0.123,0.185,0.292
P00805,2,5.0,0.175,0.317,0.326,0.284
P00806,2,2.0,0.787,0.791,0.563,0.698
P00807,3,5.0,0.000,0.000,0.428,0.424
P00808,1,6.0,0.000,0.032,0.300,0.437
P00809,1,2.0,0.498,0.592,0.553,0.613
P00810,3,13.0,0.000,0.000,0.458,0.393
P00811,2,4.0,0.120,0.000,0.443,0.569
P00812,1,2.0,0.000,0.019,0.517,0.307
P00813,1,3.0,0.000,0.178,0.437,0.531
P00814,4,8.0,0.250,0.539,0.602,0.533
P00815,2,,0.000,,0.356,
P00816,3,3.0,0.747,0.671,0.609,0.450
P00817,0,0.0,0.368,0.449,0.523,0.474
P00818,1,2.0,0.408,0.436,0.512,0.768
P00819,0,2.0,0.000,0.296,0.122,0.351
P00820,2,3.0,0.000,0.088,0.693,0.504
P00821,0,0.0,0.599,0.661,0.578,0.591
P00822,1,4.0,0.000,0.000,0.337,0.300
P00823,3,3.0,0.912,0.896,0.604,0.447
P00824,2,5.0,0.162,0.000,0.638,0.850
P00825,2,,0.000,,0.438,
P00826,0,,0.000,,0.219,
P00827,0,,0.000,,0.214,
P00828,2,6.0,0.588,0.644,0.036,0.159
P00829,2,4.0,0.000,0.084,0.365,0.485
P00830,1,3.0,0.020,0.000,0.256,0.340
P00831,0,3.0,0.278,0.350,0.391,0.500
P00832,0,3.0,0.000,0.215,0.177,0.132
P00833,2,5.0,0.387,0.436,0.375,0.464
P00834,1,2.0,0.155,0.124,0.520,0.610
P00835,1,2.0,0.000,0.014,0.298,0.173
P00836,8,14.0,0.000,0.065,0.505,0.570
P00837,0,4.0,0.000,0.267,0.393,0.412
P00838,2,5.0,0.693,0.655,0.711,0.834
P00839,3,8.0,0.000,0.082,0.431,0.550
P00840,2,3.0,0.000,0.029,0.221,0.471
P00841,0,3.0,0.229,0.563,0.520,0.326
P00842,1,6.0,0.000,0.198,0.354,0.232
P00843,2,5.0,0.482,0.436,0.263,0.230
P00844,3,9.0,0.268,0.312,0.269,0.256
P00845,2,4.0,0.000,0.051,0.263,0.339
P00846,1,5.0,0.000,0.000,0.253,0.303
P00847,3,6.0,0.321,0.565,0.195,0.183
P00848,1,1.0,0.058,0.229,0.541,0.497
P00849,1,4.0,0.000,0.166,0.271,0.439
P00850,2,5.0,0.295,0.069,0.279,0.277
P00851,4,11.0,0.379,0.454,0.647,0.581
P00852,4,5.0,0.268,0.160,0.379,0.410
P00853,7,8.0,0.152,0.093,0.682,0.842
P00854,5,12.0,0.147,0.161,0.546,0.423
P00855,1,,0.000,,0.379,
P00856,0,3.0,0.000,0.161,0.621,0.904
P00857,0,6.0,0.138,0.146,0.452,0.457
P00858,0,5.0,0.000,0.000,0.000,0.353
P00859,0,,0.214,,0.299,
P00860,1,4.0,0.046,0.124,0.418,0.428
P00861,4,5.0,0.000,0.000,0.300,0.256
P00862,6,6.0,0.773,0.826,0.354,0.308
P00863,2,4.0,0.713,0.772,0.463,0.380
P00864,0,4.0,0.000,0.137,0.236,0.143
P00865,5,8.0,0.062,0.173,0.345,0.500
P00866,3,7.0,0.000,0.196,0.106,0.074
P00867,3,3.0,0.741,0.664,0.513,0.499
P00868,3,,0.000,,0.438,
P00869,2,3.0,0.264,0.217,0.327,0.178
P00870,0,3.0,0.000,0.152,0.070,0.220
P00871,4,4.0,0.276,0.478,0.590,0.693
P00872,0,2.0,0.000,0.031,0.398,0.493
P00873,3,4.0,0.000,0.131,0.380,0.405
P00874,1,3.0,0.091,0.040,0.550,0.341
P00875,2,4.0,0.000,0.046,0.607,0.628
P00876,6,8.0,0.246,0.133,0.183,0.312
P00877,6,10.0,0.000,0.009,0.351,0.327
P00878,3,3.0,0.073,0.055,0.000,0.000
P00879,2,4.0,0.754,0.964,0.514,0.667
P00880,5,5.0,0.128,0.246,0.219,0.483
P00881,1,6.0,0.570,0.596,0.775,0.662
P00882,3,3.0,0.000,0.000,0.307,0.171
P00883,0,3.0,0.000,0.196,0.450,0.678
P00884,2,2.0,0.000,0.113,0.358,0.256
P00885,2,3.0,0.106,0.148,0.405,0.174
P00886,4,4.0,0.208,0.421,0.621,0.595
P00887,1,1.0,0.402,0.318,0.347,0.272
P00888,3,11.0,0.000,0.122,0.382,0.532
P00889,5,7.0,0.000,0.000,0.248,0.085
P00890,3,6.0,0.477,0.827,0.582,0.630
P00891,2,5.0,0.112,0.000,0.492,0.461
P00892,2,4.0,0.000,0.000,0.355,0.397
P00893,2,11.0,0.067,0.252,0.317,0.331
P00894,1,5.0,0.112,0.425,0.402,0.481
P00895,2,7.0,0.264,0.345,0.452,0.294
P00896,1,5.0,0.128,0.266,0.415,0.461
P00897,0,4.0,0.000,0.010,0.266,0.350
P00898,1,5.0,0.000,0.022,0.185,0.203
P00899,4,7.0,0.692,0.723,0.529,0.343
P00900,2,5.0,0.000,0.000,0.639,0.577
P00901,2,3.0,0.335,0.347,0.632,0.829
P00902,1,10.0,0.000,0.095,0.501,0.521
P00903,1,2.0,0.000,0.015,0.474,0.473
P00904,4,5.0,0.079,0.000,0.384,0.339
P00905,3,7.0,0.171,0.070,0.588,0.680
P00906,2,2.0,0.000,0.057,0.569,0.530
P00907,1,3.0,0.555,0.565,0.620,0.546
P00908,3,,0.000,,0.240,
P00909,0,,0.000,,0.000,
P00910,4,4.0,0.898,0.974,0.472,0.506
P00911,1,1.0,0.000,0.000,0.000,0.169
P00912,1,2.0,0.000,0.000,0.107,0.144
P00913,5,6.0,0.374,0.375,0.326,0.293
P00914,3,3.0,0.000,0.081,0.560,0.461
P00915,2,2.0,0.000,0.001,0.643,0.611
P00916,4,6.0,0.285,0.181,0.364,0.424
P00917,2,6.0,0.051,0.073,0.436,0.485
P00918,3,5.0,0.550,0.544,0.505,0.492
P00919,3,4.0,0.463,0.631,0.606,0.676
P00920,1,6.0,0.093,0.182,0.812,0.904
P00921,1,7.0,0.641,0.838,0.722,0.644
P00922,0,3.0,0.000,0.189,0.302,0.312
P00923,3,4.0,0.270,0.049,0.431,0.576
P00924,2,2.0,0.000,0.007,0.510,0.616
P00925,3,9.0,0.017,0.000,0.364,0.449
P00926,0,5.0,0.000,0.000,0.492,0.640
P00927,1,12.0,0.000,0.111,0.288,0.279
P00928,3,3.0,0.083,0.220,0.667,0.713
P00929,2,5.0,0.000,0.119,0.745,0.572
P00930,0,1.0,0.235,0.351,0.489,0.567
P00931,1,1.0,0.000,0.065,0.482,0.429
P00932,3,7.0,0.266,0.249,0.599,0.622
P00933,2,4.0,0.000,0.000,0.359,0.342
P00934,4,7.0,0.000,0.273,0.429,0.235
P00935,1,1.0,0.000,0.000,0.258,0.190
P00936,1,2.0,0.412,0.714,0.507,0.513
P00937,5,10.0,0.188,0.096,0.202,0.054
P00938,1,2.0,0.000,0.000,0.433,0.532
P00939,3,6.0,0.624,0.744,0.569,0.499
P00940,4,6.0,0.707,0.833,0.318,0.240
P00941,0,6.0,0.000,0.172,0.488,0.579
P00942,5,6.0,0.653,0.596,0.783,0.638
P00943,3,4.0,0.917,0.934,0.454,0.217
P00944,2,6.0,0.387,0.479,0.731,0.852
P00945,2,4.0,0.302,0.411,0.616,0.566
P00946,0,0.0,0.000,0.156,0.000,0.000
P00947,1,8.0,0.463,0.652,0.272,0.356
P00948,1,9.0,0.000,0.086,0.467,0.529
P00949,2,6.0,0.000,0.168,0.580,0.526
P00950,2,4.0,0.196,0.163,0.083,0.028
P00951,2,4.0,0.744,0.712,0.644,0.593
P00952,2,2.0,0.060,0.197,0.509,0.476
P00953,0,5.0,0.465,0.970,0.676,0.866
P00954,1,,0.000,,0.403,
P00955,1,,0.000,,0.100,
P00956,1,2.0,0.000,0.064,0.503,0.277
P00957,6,9.0,0.549,0.605,0.483,0.504
P00958,0,0.0,0.000,0.035,0.305,0.258
P00959,2,3.0,0.000,0.000,0.092,0.000
P00960,2,2.0,0.149,0.171,0.363,0.153
P00961,2,5.0,0.001,0.065,0.419,0.606
P00962,3,6.0,0.147,0.000,0.339,0.308
P00963,0,0.0,0.205,0.126,0.338,0.240
P00964,3,3.0,0.445,0.701,0.427,0.424
P00965,2,2.0,0.000,0.000,0.747,0.759
P00966,7,12.0,0.690,0.659,0.411,0.428
P00967,0,1.0,0.000,0.000,0.340,0.441
P00968,0,0.0,0.000,0.000,0.096,0.322
P00969,2,3.0,0.000,0.000,0.275,0.222
P00970,2,5.0,0.011,0.150,0.560,0.609
P00971,2,7.0,0.055,0.000,0.522,0.647
P00972,3,5.0,0.188,0.317,0.615,0.580
P00973,1,5.0,0.945,1.000,0.596,0.498
P00974,2,4.0,0.000,0.125,0.667,0.724
P00975,1,3.0,0.246,0.306,0.226,0.261
P00976,0,3.0,0.000,0.000,0.255,0.381
P00977,3,3.0,0.474,0.384,0.669,0.728
P00978,1,4.0,0.000,0.000,0.378,0.354
P00979,2,6.0,0.427,0.543,0.372,0.500
P00980,1,5.0,0.000,0.000,0.300,0.485
P00981,0,2.0,0.000,0.000,0.267,0.327
P00982,0,4.0,0.000,0.182,0.357,0.514
P00983,5,7.0,0.000,0.066,0.005,0.029
P00984,3,4.0,0.506,0.567,0.443,0.354
P00985,4,7.0,0.102,0.296,0.216,0.043
P00986,3,3.0,0.142,0.092,0.374,0.420
P00987,0,1.0,0.000,0.000,0.064,0.031
P00988,4,11.0,0.000,0.060,0.415,0.518
P00989,2,3.0,0.896,0.887,0.529,0.498
P00990,2,7.0,0.000,0.116,0.634,0.619
P00991,3,7.0,0.291,0.237,0.155,0.271
P00992,5,7.0,0.000,0.000,0.583,0.468
P00993,1,6.0,0.652,0.722,0.999,1.000
P00994,5,10.0,0.413,0.506,0.512,0.528
P00995,0,3.0,0.000,0.000,0.210,0.163
P00996,0,4.0,0.000,0.234,0.276,0.091
P00997,3,5.0,0.320,0.264,0.340,0.364
P00998,6,6.0,1.000,0.960,0.710,0.796
P00999,2,3.0,0.557,0.672,0.540,0.768
P01000,6,8.0,0.135,0.244,0.535,0.669
P01001,2,3.0,0.000,0.000,0.165,0.000
P01002,3,4.0,0.000,0.000,0.363,0.406
P01003,2,6.0,0.510,0.474,0.324,0.205
P01004,0,1.0,0.253,0.296,0.532,0.386
P01005,3,,0.000,,0.048,
P01006,1,,0.000,,0.365,
P01007,1,1.0,0.000,0.000,0.436,0.647
P01008,0,,0.000,,0.297,
P01009,3,4.0,0.191,0.465,0.627,0.442
P01010,2,3.0,0.150,0.373,0.219,0.165
P01011,1,4.0,0.000,0.114,0.268,0.333
P01012,3,5.0,0.000,0.079,0.300,0.370
P01013,1,1.0,0.104,0.208,0.338,0.391
P01014,1,,0.000,,0.428,
P01015,4,5.0,0.000,0.044,0.513,0.492
P01016,1,2.0,0.000,0.158,0.681,0.619
P01017,3,3.0,0.745,0.753,0.747,0.996
P01018,4,5.0,0.048,0.199,0.220,0.270
P01019,0,4.0,0.000,0.173,0.540,0.647
P01020,5,6.0,0.814,0.752,0.656,0.716
P01021,1,2.0,0.060,0.119,0.562,0.621
P01022,2,5.0,0.000,0.124,0.085,0.111
P01023,2,3.0,0.259,0.217,0.302,0.046
P01024,3,6.0,0.015,0.000,0.281,0.562
P01025,1,5.0,0.289,0.414,0.175,0.240
P01026,3,4.0,0.738,0.699,0.626,0.614
P01027,5,11.0,0.209,0.281,0.403,0.672
P01028,0,,0.000,,0.093,
P01029,2,2.0,0.215,0.000,0.339,0.590
P01030,1,2.0,0.477,0.322,0.277,0.119
P01031,1,6.0,0.000,0.000,0.185,0.170
P01032,3,3.0,0.199,0.215,0.183,0.457
P01033,3,8.0,0.794,0.958,0.703,0.731
P01034,4,4.0,0.000,0.000,0.456,0.427
P01035,4,6.0,0.000,0.009,0.543,0.693
P01036,5,7.0,0.000,0.068,0.348,0.413
P01037,2,2.0,0.348,0.282,0.024,0.000
P01038,1,2.0,0.430,0.379,0.546,0.462
P01039,0,2.0,0.000,0.059,0.112,0.084
P01040,0,0.0,0.000,0.000,0.356,0.425
P01041,0,2.0,0.000,0.037,0.384,0.363
P01042,3,4.0,0.042,0.034,0.253,0.238
P01043,0,,0.000,,0.175,
P01044,1,1.0,0.000,0.000,0.418,0.424
P01045,1,2.0,0.000,0.000,0.330,0.365
P01046,0,1.0,0.000,0.000,0.363,0.230
P01047,2,6.0,0.048,0.161,0.419,0.419
P01048,6,8.0,0.712,0.652,0.188,0.322
P01049,2,5.0,0.000,0.255,0.611,0.549
P01050,1,6.0,0.000,0.211,0.365,0.344
P01051,0,,0.608,,0.478,
P01052,0,1.0,0.228,0.134,0.595,0.712
P01053,2,6.0,0.386,0.544,0.698,0.710
P01054,0,5.0,0.000,0.066,0.158,0.178
P01055,5,,0.000,,0.444,
P01056,0,3.0,0.000,0.000,0.656,0.453
P01057,0,3.0,0.000,0.000,0.364,0.344
P01058,1,2.0,0.302,0.405,0.534,0.726
P01059,1,5.0,0.000,0.022,0.208,0.100
P01060,1,3.0,0.000,0.000,0.480,0.516
P01061,2,7.0,0.822,0.910,0.474,0.465
P01062,2,2.0,0.000,0.000,0.332,0.373
P01063,3,3.0,0.334,0.299,0.317,0.410
P01064,2,5.0,0.000,0.235,0.049,0.065
P01065,2,5.0,0.000,0.000,0.206,0.000
P01066,3,6.0,0.448,0.588,0.539,0.431
P01067,1,2.0,0.000,0.000,0.415,0.185
P01068,1,3.0,0.000,0.006,0.372,0.588
P01069,2,4.0,0.273,0.305,0.474,0.607
P01070,2,7.0,0.118,0.326,0.393,0.471
P01071,3,4.0,0.000,0.121,0.189,0.251
P01072,2,3.0,1.000,1.000,0.631,0.606
P01073,2,4.0,0.230,0.167,0.370,0.671
P01074,4,7.0,0.685,0.969,0.590,0.539
P01075,4,,0.015,,0.247,
P01076,1,1.0,0.000,0.000,0.188,0.186
P01077,3,10.0,0.781,0.862,0.279,0.309
P01078,0,5.0,0.121,0.063,0.297,0.271
P01079,2,3.0,0.013,0.100,0.104,0.249
P01080,1,9.0,0.000,0.000,0.415,0.414
P01081,1,7.0,0.107,0.402,0.407,0.363
P01082,5,8.0,0.473,0.591,0.655,0.672
P01083,1,4.0,1.000,0.980,0.713,0.731
P01084,2,2.0,0.903,0.858,0.638,0.515
P01085,2,7.0,0.000,0.000,0.462,0.357
P01086,1,4.0,0.000,0.121,0.520,0.503
P01087,1,1.0,0.000,0.000,0.457,0.672
P01088,1,,0.000,,0.350,
P01089,2,11.0,0.000,0.000,0.291,0.366
P01090,1,4.0,0.000,0.000,0.249,0.093
P01091,1,,0.000,,0.503,
P01092,0,0.0,0.000,0.199,0.313,0.397
P01093,2,4.0,0.000,0.067,0.512,0.484
P01094,0,,0.000,,0.532,
P01095,1,3.0,0.301,0.337,0.548,0.822
P01096,2,2.0,0.000,0.000,0.341,0.338
P01097,2,8.0,0.137,0.258,0.192,0.000
P01098,2,2.0,0.060,0.212,0.476,0.646
P01099,2,,0.000,,0.266,
P01100,0,0.0,0.000,0.000,0.537,0.547
P01101,1,1.0,0.000,0.000,0.584,0.561
P01102,1,5.0,0.000,0.000,0.210,0.244
